Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who won the basketball game last night,5400,87,0.00,0.00,90,Informational,"Instant answer, People also ask","0.16,0.54,1.00,0.07,0.04,0.08,0.03,0.01,0.00,0.01,0.13,0.44"
who won last night basketball game,3600,87,0.00,0.00,309000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.00,0.02,0.16,0.08,0.00,0.13,0.08,0.08,0.08,0.10,0.36,1.00"
who won the game last night basketball,1300,86,0.00,0.00,437000000,Informational,"Instant answer, People also ask, Reviews, Video","0.16,0.54,1.00,0.04,0.02,0.04,0.03,0.04,0.04,0.04,0.43,0.54"
who won basketball last night,880,86,0.00,0.00,223000000,Informational,"Instant answer, People also ask, Reviews, Video carousel, Video","0.24,0.82,1.00,0.08,0.01,0.08,0.05,0.03,0.04,0.04,0.34,0.82"
who won last night basketball,880,100,0.00,0.00,100,Informational,"Instant answer, People also ask, Site links","0.24,1.00,1.00,0.08,0.01,0.08,0.05,0.03,0.03,0.03,0.44,0.82"
who won last night's basketball game,880,86,0.00,0.00,66,Informational,"Instant answer, People also ask, Video","0.16,0.54,1.00,0.04,0.02,0.05,0.03,0.03,0.04,0.00,0.04,0.29"
who won last nights basketball game,880,93,0.00,0.00,29300000,Informational,"FAQ, Instant answer, People also ask, Reviews","0.24,0.80,1.00,0.03,0.01,0.03,0.03,0.03,0.03,0.03,0.20,0.44"
who won the basketball last night,720,93,0.00,0.00,89,Informational,"Image pack, Instant answer, People also ask, Site links","0.24,0.82,0.82,0.07,0.01,0.07,0.05,0.03,0.03,0.03,0.34,1.00"
who won basketball game last night,590,93,0.00,0.00,81,Informational,"Image pack, Instant answer, People also ask, Site links","0.16,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.00"
who won in the basketball game last night,590,88,0.00,0.00,85,Informational,"Instant answer, People also ask, Reviews, Site links, Video carousel","0.04,0.16,0.34,0.44,0.00,1.00,0.00,0.00,0.00,0.00,0.08,0.00"
who won the nba basketball game last night,590,80,0.00,0.00,301000000,Informational,"People also ask, Reviews, Site links","0.08,0.52,1.00,0.00,0.00,0.01,0.01,0.01,0.01,0.03,0.02,0.13"
who won duke basketball game last night,320,77,0.00,0.00,83,Informational,"People also ask, Site links, Twitter, Video carousel","0.00,0.00,0.00,0.01,0.00,0.01,0.16,0.11,0.08,0.07,1.00,0.20"
who won the duke basketball game last night,320,62,0.00,0.00,96,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video carousel","0.00,0.01,0.01,0.01,0.01,0.01,0.24,0.16,0.13,0.10,1.00,0.24"
did uconn women's basketball win last night,260,46,0.00,0.00,69,Informational,"Featured snippet, Image pack, People also ask, Twitter, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03"
who won basketball games last night,260,85,0.00,0.00,97,Informational,"People also ask, Site links, Video carousel","0.31,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01"
