Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what happened to basketball wives,260,48,0.00,0.00,19900000,Informational,"Featured snippet, People also ask, Reviews, Twitter, Video carousel, Video","0.45,0.13,0.08,0.08,0.04,0.03,0.05,0.03,0.05,0.04,0.05,0.04"
what happened to lsu basketball coach,260,52,0.00,0.00,73,Informational,"Featured snippet, Image pack, People also ask, Video carousel","0.02,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,1.00,0.03"
what happened at lsu basketball,210,58,0.00,0.00,79,Informational,"Featured snippet, Image pack, People also ask, Video","1.00,0.00"
what happened to notre dame women's basketball,210,39,0.00,0.00,63,Informational,"Image pack, People also ask, Video","0.00,0.00,0.02,0.06,0.14,1.00,0.81,0.66,1.00,0.81,0.10"
what happened to the lsu men's basketball coach,210,48,0.00,0.00,65,Informational,"Featured snippet, Image pack, People also ask, Video carousel","1.00,0.00"
what happened to arkansas basketball coach,170,53,0.00,0.00,55,Informational,"Featured snippet, Image pack, People also ask, Video carousel, Video","0.23,1.00,0.10,0.00"
what happened to louisville basketball coach,140,55,0.00,0.00,97,Informational,"Featured snippet, Image pack, People also ask, Video","0.02,0.00,1.00,0.35,0.22,0.04"
what happened to basketball wives season 9,110,34,0.00,0.01,75,Informational,"Image pack, People also ask, Reviews, Video carousel","1.00,0.10,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02"
what happened to georgetown basketball,90,57,0.00,0.00,86,Informational,"Featured snippet, Image pack, People also ask, Video carousel","0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.15,0.26,1.00,1.00,0.11"
what happened to iupui basketball,90,52,0.00,0.00,47,Informational,"Image pack, People also ask","1.00,0.00"
what happened to lsu men's basketball coach,90,47,0.00,0.00,63,Informational,"Featured snippet, Image pack, Video carousel","1.00,0.00"
what happened with lsu basketball,90,44,0.00,0.00,68,Informational,"Featured snippet, Image pack, People also ask, Twitter, Video","1.00,0.00"
what happened to the lsu basketball coach,70,54,0.00,0.00,69,Informational,"Featured snippet, Image pack, Video carousel","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
what happened to the providence basketball coaches head,70,34,0.00,0.00,64,Informational,"Featured snippet, Image pack, People also ask, Video","0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.05,1.00,0.03"
what happened to unc basketball,70,47,0.00,0.00,61,Informational,"Image pack, People also ask, Twitter, Video carousel","1.00,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.06,0.09"
what happens if you break the backboard in basketball,70,28,0.00,0.00,982000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.03,0.03,0.09,0.05,0.03,0.07,0.07,0.05,0.21,0.11,0.11,0.02"
what happened to kentucky basketball,50,54,0.00,0.00,78,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.04,0.02,0.02,0.01,0.03,0.01,0.02,0.02,0.03,0.03,0.32,0.02"
what happened to maryland basketball coach,50,64,0.00,0.00,68,Informational,"Featured snippet, Image pack, People also ask, Video carousel, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.34,0.43,1.00,0.06"
what happened to maryland's basketball coach,50,64,0.00,0.00,70,Informational,"Featured snippet, Image pack, People also ask, Video carousel, Video","1.00,0.60,1.00,0.00"
what happened to michigan basketball,50,56,0.00,0.00,69,Informational,"Image pack, People also ask, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.19,1.00,0.66,0.52,0.09"
what happened to ms basketball on v103,50,22,0.00,0.01,42,Informational,"Image pack, People also ask, Twitter, Video carousel, Video","0.63,1.00,0.27,0.18,0.18"
what happened to oden basketball,50,34,0.00,0.00,96,Informational,"Featured snippet, People also ask, Video carousel, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,1.00,0.34,0.06,0.06"
what happened to terrence clarke basketball player,50,65,0.00,0.00,425000,Informational,"Featured snippet, People also ask, Video carousel","0.00,1.00,0.07,0.00,0.07,0.07,0.07,0.07,0.07,0.05,0.05"
what happened to the lsu head basketball coach,50,64,0.00,0.00,60,Informational,"Featured snippet, Image pack, People also ask, Video carousel","1.00,0.00"
