Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what tv channel is uconn women's basketball game on today,320,62,0.78,0.03,94,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.01,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.10,0.24,0.36,0.13"
is the university of dayton basketball game on tv tonight,170,53,0.00,0.03,1690000,Informational,"People also ask, Reviews, Site links","0.00,1.00,0.00,0.54,0.54,0.04,0.04,0.04,0.04,0.02,0.00"
what tv channel is ku basketball on tonight,170,50,1.43,0.05,85,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.03,0.03,0.03,0.11,0.11,0.04,1.00,0.39"
is lsu women's basketball on tv tonight,140,47,0.00,0.01,499000,Informational,"People also ask, Site links, Twitter, Video","0.01,0.02,0.00,0.00,0.01,0.01,0.15,0.36,0.66,0.19,1.00,0.02"
how long is a basketball game on tv,110,42,0.00,0.00,344000000,Informational,"Featured snippet, People also ask, Site links, Video","0.53,0.43,0.09,0.09,0.09,0.09,0.43,0.21,1.00,0.34,0.65,0.81"
is iowa basketball on tv tonight,110,54,0.00,0.00,3230000,Informational,"People also ask, Site links","0.00,0.06,0.00,0.00,0.00,0.06,1.00,1.00,0.35,0.35,0.18,0.02"
is auburn basketball on tv today,90,47,0.00,0.02,83,Informational,"People also ask, Site links, Video","0.00,0.11,0.11,0.11,0.00,0.53,0.53,0.80,0.65,1.00,0.07"
is uk basketball on tv tonight,90,62,0.00,0.00,16100000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.06,0.06,0.06,1.00,0.35,0.22,0.22,0.04,0.04"
is alabama basketball on tv tonight,70,56,0.00,0.00,3840000,Informational,"People also ask, Site links","0.00,0.00,0.00,0.11,0.11,1.00,0.80,0.42,0.26,0.15,0.07"
is badger basketball on tv tonight,70,61,0.00,0.00,1680000,Informational,"People also ask, Reviews, Site links, Twitter","0.00,0.00,0.00,0.00,0.11,1.00,0.42,0.42,0.11,0.53,0.00"
is illini basketball on tv tonight,70,57,0.00,0.00,187000,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.14,1.00,0.52,0.52,0.52,0.42,0.04"
is iowa hawkeye basketball on tv tonight,70,60,0.00,0.01,90,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.00,1.00,0.65,0.42,0.42,0.34,0.00"
is ohio state basketball on tv tonight,70,54,0.00,0.01,4510000,Informational,"People also ask, Site links","0.00,0.00,0.00,0.07,0.00,1.00,0.17,0.23,0.23,0.23,0.05"
is the nc state basketball game on tv today,70,39,0.00,0.01,94,Informational,"People also ask, Reviews, Site links, Video","0.11,0.17,0.00,0.17,0.00,0.17,0.64,1.00,0.64,0.64,0.64,0.11"
is uconn women's basketball on tv tonight,70,61,0.17,0.08,297000,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.00,0.14,0.00,0.00,0.14,0.52,0.52,0.66,0.66,1.00,0.09"
is unc basketball on tv tonight,70,63,0.00,0.01,1820000,Informational,"Featured snippet, People also ask, Site links, Twitter","0.00,0.00,0.00,0.14,0.14,0.52,0.52,1.00,0.52,0.09,0.09"
is usa basketball on tv,70,70,0.00,0.00,0,Informational,"Carousel, People also ask, Site links, Twitter","0.00,1.00,0.66,0.00,0.07,0.07,0.00,0.07,0.07,0.05,0.00"
is uva basketball on tv tonight,70,53,0.00,0.02,390000,Informational,"People also ask, Site links","0.00,0.14,0.00,0.00,0.14,0.14,0.80,0.52,0.66,0.52,1.00,0.09"
is wvu basketball on tv today,70,50,0.00,0.00,88,Informational,"People also ask, Reviews, Site links","0.00,0.27,0.00,0.27,0.27,1.00,1.00,1.00,1.00,1.00,0.18"
what basketball games are on tv today,70,88,0.00,0.01,264000000,Informational,"Featured snippet, People also ask, Site links","0.66,0.52,0.14,0.14,0.14,0.14,0.14,0.14,0.19,0.52,1.00,0.42"
what basketball games are on tv tonight,70,85,0.00,0.02,0,Informational,"Carousel, Featured snippet, People also ask, Site links","0.00,0.52,0.14,0.14,0.14,0.14,0.52,0.52,0.52,0.52,0.66,0.52"
what tv channel is ku basketball on,70,53,0.82,0.01,100,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.03,0.03,0.03,0.07,0.03,0.65,1.00,0.42,0.42,0.26,1.00"
how can i watch uconn women's basketball on tv,50,66,0.72,0.12,1060000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.21,0.21,0.21,0.28,1.00,0.21,0.21,0.78,0.14,0.14"
