Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what number was kobe bryant in basketball,480,43,0.00,0.00,0,Informational,"Carousel, FAQ, Knowledge panel, People also ask, Reviews, Site links, Video","0.72,0.72,0.72,0.39,0.39,0.72,1.00,0.00,0.01,0.01,0.01"
why do my feet go numb when i play basketball,170,33,0.00,0.00,1180000,Informational,"Featured snippet, Knowledge panel, People also ask, Site links","0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00"
who is the number 1 high school basketball player,110,64,0.00,0.00,259000000,Informational,"Featured snippet, People also ask, Reviews, Video carousel","0.20,0.03,0.00,0.03,0.01,0.06,0.02,0.05,0.03,0.06,0.08,0.00"
how tall is number 15 on purdue basketball team,90,47,0.00,0.00,55,Informational,"Featured snippet, Image pack, People also ask, Video","1.00,0.00,0.78,0.14"
what basketball player is number 8,90,50,0.00,0.00,513000000,Informational,"Featured snippet, Image pack, Video","1.00,0.35,0.35,0.00,0.29,0.06,0.06,0.06,0.06,0.06,0.04,0.04"
has a number 8 seed ever won ncaa basketball,70,,0.00,0.00,,,,1.00
how tall is number 15 on the purdue basketball team,70,38,0.00,0.00,66,Informational,"Featured snippet, Image pack, People also ask, Video","1.00,0.00"
what was kobe bryant's daughter's basketball number,70,33,0.00,0.00,4160000,Informational,"Featured snippet, Image pack, People also ask, Video","1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
who is number 15 on purdue basketball,70,47,0.00,0.00,61,Informational,"Featured snippet, Image pack, People also ask, Video","1.00,0.00"
who is number 23 in basketball,70,34,0.00,0.00,498000000,Informational,"Featured snippet, People also ask, Reviews","0.50,0.78,0.21,0.21,0.21,1.00,0.78,0.64,0.78,0.50,0.64,0.07"
who is number one in college basketball,70,81,0.00,0.00,359000000,Informational,"Featured snippet, People also ask, Video","0.10,0.00,0.00,0.00,0.00,0.04,0.00,1.00,0.29,0.22,0.00"
how tall is number 10 on arkansas basketball,50,53,0.00,0.00,43,Informational,"Image pack, People also ask, Reviews, Video","1.00,0.00"
how tall is number 5 on tennessee basketball,50,50,0.00,0.00,39,Informational,"Image pack, People also ask, Site links","1.00,0.00"
what is michael jordan's basketball number,50,47,0.00,0.00,0,Informational,"Carousel, Knowledge panel, People also ask, Site links, Video","0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.07,0.07"
what was michael jordan's number when he played basketball,50,50,0.00,0.00,56000000,Informational,"Featured snippet, People also ask, Site links, Video","1.00,0.17,0.17,0.17,0.17,0.17,0.00,0.17,0.17,0.17,0.11,0.11"
who is number 1 in ncaa basketball,50,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.27,0.27,1.00,1.00,1.00,1.00,0.18"
who is number 15 on purdue basketball team,50,47,0.00,0.00,94,Informational,"Featured snippet, Image pack, People also ask, Site links","0.00,1.00,0.00"
who is the number one basketball player in the world,50,79,0.00,0.00,495000000,Informational,"FAQ, Featured snippet, People also ask, Video","0.80,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.09,0.09"
who's number one in college basketball,50,79,0.00,0.00,96,Informational,"Featured snippet, Image pack, People also ask, Reviews, Video","0.00,0.00,0.00,0.00,0.00,0.07,0.65,1.00,0.26,0.19,0.00"
who's the number one basketball team,50,86,0.00,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Video","0.14,0.14,0.42,0.14,0.23,1.00,0.23,0.14,0.14,0.14,0.09,0.09"
how tall is number 11 on arkansas basketball team,40,63,0.00,0.00,56,Informational,"Featured snippet, Image pack, People also ask, Reviews, Video","1.00,0.00"
is 8 an illegal number in basketball,40,39,0.00,0.00,31200000,Informational,,"0.07,0.07,0.07,0.07,0.07,0.50,0.50,0.07,0.21,0.21,0.14,0.14"
what is lebron james basketball number,40,,0.00,0.00,,,,"0.33,0.14,0.52,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.09,0.09"
what was kobe bryant's number in basketball,40,,0.00,0.00,,,,"0.52,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.09,0.09"
who is number 1 in college basketball,40,,0.00,0.00,,,,"0.06,0.06,0.00,0.00,0.00,0.00,0.02,0.00,0.22,0.00,0.54,0.04"
who is the number one high school basketball player,40,,0.00,0.00,,,,"1.00,0.27,0.00,0.00,0.27,0.18,0.27,0.27,0.36,0.81,0.27,0.00"
who's number one in basketball,40,,0.00,0.00,,,,"0.33,0.55,0.33,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.22,0.22"
who's number one in ncaa basketball,40,,0.00,0.00,,,,"0.18,0.27,0.00,0.00,0.00,0.27,0.27,1.00,1.00,1.00,0.18,0.18"
how do basketball players get their number,30,,0.00,0.00,,,,"0.52,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.11,0.11"
how tall is number 15 on purdue basketball,30,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.00,0.00"
what basketball number should i be,30,,0.00,0.00,,,,"1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.22,0.22"
what basketball number was kobe bryant,30,,0.00,0.00,,,,"0.18,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.18,0.18"
what basketball player is number 23,30,,0.00,0.00,,,,"0.28,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.28,0.28"
what basketball player is number 4,30,,0.00,0.00,,,,"0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.40,0.40"
what college basketball team is number 1,30,,0.00,0.00,,,,"1.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
what does number one seed mean in basketball,30,,0.00,0.00,,,,"0.33,0.33,0.33,0.33,0.33,0.33,0.00,0.33,0.33,0.33,0.22,0.22"
what is kobe bryant's basketball number,30,,0.00,0.00,,,,"1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.22,0.22"
what is kobe bryant's number in basketball,30,,0.00,0.00,,,,"1.00,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.40,0.40"
