Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what channel is uk basketball game on today,1600,56,0.00,0.01,98,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.02,0.10,1.00,0.54,0.54,0.43,0.43,0.00"
what channel is the basketball game on,1300,67,1.87,0.02,153000000,Informational,"Reviews, Site links","0.35,1.00,0.66,0.08,0.01,0.08,0.08,0.08,0.05,0.07,0.24,0.66"
what channel is the basketball game on tonight,1300,80,1.42,0.01,244000000,Informational,"People also ask, Site links","0.08,0.29,0.29,0.03,0.00,0.08,0.08,0.07,0.07,0.07,0.24,1.00"
what channel is usa basketball on,1300,59,0.00,0.00,0,Informational,"Carousel, People also ask, Reviews","0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
what channel is ncaa basketball on,1000,88,1.05,0.03,224000000,Informational,"FAQ, Featured snippet, People also ask, Reviews","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,1.00"
what channel is the razorback basketball game on today,1000,59,1.68,0.01,81,Informational,"People also ask, Reviews, Site links","0.00,0.03,0.00,0.00,0.02,0.02,0.10,0.12,0.08,0.16,1.00,0.01"
what channel.is purdue basketball,1000,60,1.25,0.00,896000,Informational,"Featured snippet, People also ask, Video","1.00,0.02,0.00"
what channel is basketball on,880,85,3.02,0.04,0,Informational,"Carousel, FAQ, Featured snippet, People also ask, Reviews, Site links","0.52,1.00,0.68,0.13,0.07,0.37,0.37,0.37,0.16,0.31,0.68,0.84"
what channel is i u basketball on,880,56,1.31,0.00,85,Informational,"People also ask, Reviews, Site links, Twitter","1.00,0.00,0.01"
what channel is unc basketball game on today,880,73,1.67,0.01,98,Informational,"Featured snippet, People also ask, Site links, Video","0.00,0.00,0.01,0.00,0.00,0.00,0.54,0.66,0.79,0.79,1.00,0.41"
what channel is badger basketball on today,720,72,1.18,0.01,84,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.10,1.00,0.00"
what channel is iu basketball on tonight,720,55,1.19,0.01,89,Informational,"People also ask, Site links, Twitter","0.00,0.01,0.01,0.01,0.01,0.01,0.54,0.36,1.00,0.66,0.79,0.01"
what channel is ncaa basketball on tonight,720,92,1.32,0.02,214000000,Informational,"FAQ, Featured snippet","0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.81,1.00"
what channel is syracuse basketball on,720,72,1.05,0.01,98,Informational,"Featured snippet, People also ask, Reviews","0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.10,0.24,0.24,0.10,0.00"
what channel is the memphis tigers basketball game on tonight,720,49,1.04,0.02,85,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.00,0.01,0.01,0.01,0.04,0.08,0.44,0.44,0.34,0.34,1.00,0.01"
what channel is basketball game on,590,79,1.87,0.02,188000000,Informational,"People also ask, Site links","0.13,0.36,0.06,0.24,0.00,0.36,0.45,0.36,0.36,0.81,1.00,0.13"
what channel is duke basketball on tonight,590,59,1.50,0.02,86,Informational,"Featured snippet, People also ask, Twitter","0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.24,0.20,1.00,0.20"
what channel is kentucky basketball on tonight,590,58,1.56,0.01,83,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.02,0.03,1.00,0.55,0.67,0.67,1.00,0.00"
what channel is purdue basketball on today,590,53,1.48,0.01,16700000,Informational,"People also ask, Twitter, Video","0.00,0.00,0.00,0.01,0.01,0.36,0.20,0.41,0.54,1.00,0.00"
what channel is the iowa basketball game on,590,61,0.00,0.02,90,Informational,"Featured snippet, People also ask, Site links","0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.27,0.16,0.16,1.00,0.00"
what channel is the michigan basketball game on,590,57,1.60,0.01,92,Informational,"Featured snippet, People also ask, Reviews, Twitter","0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.07,0.10,0.66,0.00"
what channel is iowa women's basketball on today,480,50,1.25,0.00,22000000,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.10,1.00,0.00"
what channel is ku basketball on,480,53,0.89,0.01,90,Informational,"Featured snippet, People also ask, Reviews, Site links","0.01,0.01,0.01,0.00,0.01,0.01,0.25,0.31,0.52,0.25,0.84,0.37"
what channel is ncaa basketball,480,70,1.05,0.03,0,Informational,"Carousel, FAQ, Featured snippet, People also ask","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.13,0.08"
what channel is team usa basketball on,480,67,0.00,0.00,0,Informational,"Carousel, People also ask, Twitter","0.00,0.00,1.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
what channel is the illini basketball game on today,480,56,0.80,0.01,2540000,Informational,"People also ask, Reviews, Site links","0.00,0.01,0.00,0.01,0.01,0.01,0.84,0.37,0.52,0.68,0.52,0.01"
what channel is the ku basketball game on tonight,480,50,0.81,0.02,100,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.01,0.00,0.02,0.01,0.36,0.54,0.54,0.20,1.00,0.36"
what channel is the syracuse basketball game on,480,71,0.00,0.01,98,Informational,"Featured snippet, People also ask, Reviews, Video","0.01,0.00,0.00,0.00,0.00,0.00,0.20,0.13,0.29,0.43,0.07,0.00"
what channel is the uk basketball game on,480,51,1.72,0.00,207000000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.03,0.02,0.02,0.07,1.00,0.48,1.00,0.88,1.00,0.02"
what channel is the usa basketball game on,480,57,0.00,0.00,0,Informational,"Carousel, People also ask, Site links, Twitter","0.01,0.01,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
what channel is the wvu basketball game on today,480,60,0.00,0.02,79,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.08,0.07,0.52,0.36,0.36,0.16,0.16,0.01"
what channel are basketball games on,390,85,1.87,0.02,0,Informational,"Carousel, Featured snippet, People also ask, Reviews, Site links","0.00,0.00,1.00,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.00"
what channel is auburn basketball playing on today,390,52,1.37,0.01,77,Informational,"Featured snippet, People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.01,0.01,0.05,0.08,0.25,0.31,1.00,0.01"
what channel is illinois basketball on today,390,63,1.08,0.01,70600000,Informational,"People also ask, Site links","0.00,0.00,0.01,0.01,0.01,0.20,0.20,0.45,0.55,1.00,0.00"
what channel is team usa basketball,390,68,0.00,0.00,0,Informational,"Carousel, People also ask, Reviews, Twitter","0.00,0.00,1.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
what channel is the auburn basketball game on,390,50,1.34,0.01,81,Informational,"Featured snippet, People also ask, Site links, Twitter","0.00,0.01,0.00,0.01,0.01,0.11,0.11,0.31,0.31,1.00,0.00"
what channel is the badger basketball game on,390,62,1.75,0.00,100,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.01,0.00,0.01,0.00,0.16,0.20,0.30,0.30,1.00,0.01"
what channel is the iowa basketball game on tonight,390,59,0.82,0.01,92,Informational,"FAQ, Featured snippet, People also ask, Site links","0.00,0.00,0.02,0.00,0.02,0.45,1.00,0.55,0.55,0.67,0.01"
what channel is the ku basketball game on,390,57,0.82,0.01,96,Informational,"Featured snippet, People also ask, Reviews, Site links","0.01,0.01,0.13,0.00,0.01,0.00,0.25,0.37,0.68,0.25,1.00,0.31"
what channel is the memphis tigers basketball game on today,390,56,0.92,0.02,97,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.00,0.02,0.05,1.00,0.03"
what channel is uh basketball game on today,390,49,1.50,0.01,6780000,Informational,"People also ask, Site links","0.00,1.00,0.00"
what channel the basketball game on,390,77,1.87,0.02,164000000,"Informational, Commercial","People also ask, Reviews, Site links","0.04,0.13,1.00,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.04"
what channel uk basketball,390,55,0.69,0.00,46200000,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.00,0.01,0.62,0.36,1.00,0.81,0.02,0.01"
what channel are the basketball games on,320,77,1.87,0.02,0,Informational,"Carousel, People also ask, Site links, Top stories","0.00,0.01,1.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.07,0.05"
what channel is college basketball on,320,77,0.00,0.00,0,Informational,"Carousel, FAQ, Knowledge panel, People also ask, Reviews","0.00,0.00,0.00,0.00,0.01,0.01,0.08,0.08,0.07,0.11,1.00,0.55"
what channel is gonzaga basketball on tonight,320,57,0.00,0.01,95,Informational,"Featured snippet, People also ask","0.00,0.02,0.02,0.02,0.00,0.02,0.45,0.30,0.55,0.45,1.00,0.00"
what channel is illini basketball on today,320,56,1.08,0.01,3600000,Informational,"People also ask, Site links","0.00,0.00,0.01,0.01,0.02,0.20,0.24,0.30,0.55,1.00,0.00"
what channel is illinois basketball on tonight,320,50,0.00,0.01,144000000,Informational,"People also ask, Site links, Video","0.00,0.00,0.00,0.00,0.03,0.88,0.32,0.59,0.48,1.00,0.01"
what channel is kentucky basketball on,320,52,1.24,0.00,83,Informational,"Featured snippet, People also ask, Reviews, Site links","0.72,0.00,0.03,0.03,0.04,0.59,0.21,0.48,0.59,1.00,0.02"
what channel is ku basketball on today,320,55,1.07,0.04,5800000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.01,0.16,0.13,0.45,0.13,1.00,0.30"
what channel is michigan basketball on,320,49,1.50,0.03,9570000,Informational,"People also ask, Site links","0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.04,0.07,0.36,0.00"
what channel is michigan basketball on today,320,68,1.58,0.01,83,Informational,"People also ask, Twitter","0.00,0.01,0.00,0.01,0.00,0.00,0.04,0.16,0.07,0.13,1.00,0.00"
what channel is ohio state basketball on today,320,54,1.30,0.01,87,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.01,0.01,0.10,0.08,0.16,0.45,1.00,0.01"
what channel is the basketball game,320,76,1.87,0.02,0,Informational,"Carousel, People also ask","0.30,1.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.13"
what channel is the iowa state basketball game on,320,51,0.78,0.00,99,Informational,"People also ask, Reviews","0.03,0.01,0.01,0.01,0.01,0.01,0.05,0.08,0.37,0.25,1.00,0.01"
what channel is the michigan state basketball game on,320,62,1.24,0.01,70,Informational,"Featured snippet, People also ask, Video","0.00,0.00,0.01,0.00,0.00,0.01,0.13,0.16,0.20,0.24,0.79,0.01"
what channel is the syracuse basketball game on tonight,320,72,0.00,0.00,88,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.03,0.03,0.03,0.03,0.67,0.36,0.81,1.00,0.36,0.23"
what channel is the texas tech basketball game on today,320,53,0.00,0.00,66900000,Informational,"People also ask, Site links, Twitter","0.01,0.03,0.01,0.01,0.02,0.01,0.05,0.11,0.25,0.68,1.00,0.01"
what channel is the tn basketball game on,320,56,1.40,0.01,84,Informational,"Featured snippet, People also ask","0.00,0.01,0.01,0.00,0.00,0.02,0.10,0.13,0.08,0.13,1.00,0.02"
what channel is women's basketball on tonight,320,70,1.89,0.01,81900000,Informational,"People also ask, Site links","0.00,0.01,0.01,0.01,0.01,0.01,0.06,0.06,0.08,0.08,1.00,0.62"
what tv channel is uconn women's basketball game on today,320,62,0.78,0.03,94,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.01,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.10,0.24,0.36,0.13"
what channel is auburn basketball on tonight,260,47,1.55,0.01,70,Informational,"People also ask, Site links, Twitter, Video","0.00,0.01,0.00,0.01,0.00,0.08,0.13,0.20,0.20,1.00,0.00"
what channel is basketball on directv,260,62,0.00,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Reviews","0.23,0.54,0.81,0.35,0.81,1.00,0.66,0.23,0.18,0.15,0.35,0.35"
what channel is basketball on tonight,260,82,1.59,0.01,320000000,Informational,People also ask,"0.13,0.31,0.16,0.07,0.01,0.13,0.13,0.08,0.07,0.05,0.31,1.00"
what channel is illini basketball on tonight,260,53,0.00,0.03,3660000,Informational,"People also ask, Site links, Twitter","0.00,0.00,0.00,0.00,0.00,0.02,0.67,0.36,0.67,0.54,1.00,0.01"
what channel is iowa basketball on tonight,260,60,1.28,0.01,84,Informational,"FAQ, Featured snippet, People also ask, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.66,1.00,0.66,0.66,1.00,0.01"
what channel is iu basketball,260,61,1.31,0.00,86,Informational,"Featured snippet, Image pack, People also ask, Reviews","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,1.00,1.00,0.03,0.01"
what channel is iu basketball on today,260,61,0.00,0.00,85,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.03,0.03,0.03,0.17,0.17,0.48,0.72,1.00,0.01"
what channel is ku basketball on tonight,260,56,0.80,0.02,93,Informational,"Featured snippet, People also ask, Reviews, Site links","0.05,0.02,0.00,0.00,0.02,0.02,0.30,0.45,0.36,0.16,1.00,0.24"
what channel is michigan state basketball on,260,60,1.35,0.01,69,Informational,"Featured snippet, People also ask, Twitter, Video","0.00,0.02,0.01,0.01,0.01,0.30,0.24,0.30,0.45,1.00,0.00"
what channel is msu basketball on tonight,260,66,0.00,0.00,98,Informational,"Featured snippet, People also ask, Site links, Twitter, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.13,0.16,0.66,0.00"
what channel is purdue basketball,260,57,1.25,0.00,83,Informational,"Featured snippet, Image pack, People also ask, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.55,1.00,0.03,0.06,0.00"
what channel is syracuse basketball game on tonight,260,70,0.00,0.00,96,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.03,0.03,0.03,0.03,0.01,0.36,0.81,1.00,0.36,0.29"
what channel is the arkansas basketball game on,260,72,0.00,0.00,97,Informational,"Featured snippet, People also ask, Reviews","0.00,0.02,0.01,0.01,0.01,0.01,0.08,0.08,0.08,0.25,1.00,0.00"
what channel is the badger basketball game on today,260,72,0.00,0.00,89,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter","0.00,1.00,0.04,0.04,0.04,0.44,0.29,0.29,0.36,1.00,0.01"
