Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who won the ncaa basketball championship in 2019,390,67,0.00,0.00,39500000,Informational,"Instant answer, People also ask, Reviews, Site links, Video carousel, Video","0.04,0.03,0.02,0.01,0.01,0.01,0.08,0.02,0.02,0.03,0.16,0.10"
what is the best basketball shoe 2019,70,54,0.00,0.00,59,"Informational, Commercial","Featured snippet, Image, People also ask, Reviews, Site links, Video carousel","1.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00"
what percent of college basketball players are black 2019,70,51,0.00,0.00,6120000,Informational,"FAQ, Featured snippet, Image pack, People also ask","1.00,0.14"
who won ncaa basketball 2019,70,65,0.00,0.00,110000000,Informational,"Image pack, Instant answer, People also ask, Reviews, Site links, Video carousel","0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.06"
where is the 2019 ncaa basketball tournament,50,50,0.00,0.00,29000000,Informational,"Image pack, Instant answer, Knowledge panel, People also ask, Reviews, Site links, Video carousel","1.00,0.11,0.11,0.00,0.11,0.00,0.11,0.11,0.11,0.11,0.07,0.07"
who won the 2019 ncaa basketball championship,50,63,0.00,0.00,98,Informational,"Instant answer, People also ask, Site links, Video carousel","0.03,0.03,0.03,0.02,0.02,0.02,0.05,0.04,0.04,0.04,0.12,0.12"
who won the ncaa men's basketball championship in 2019,50,65,0.00,0.00,55500000,Informational,"Image pack, Instant answer, People also ask, Reviews, Site links, Video carousel","0.54,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04"
who won ncaa basketball championship 2019,40,,0.00,0.02,,,,"0.07,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.11,0.02"
when is the ncaa basketball tournament 2019,30,61,0.00,0.00,30700000,Informational,"Instant answer, People also ask, Reviews, Site links, Video carousel","0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00"
who is the best basketball player 2019,30,,0.00,0.00,,,,"0.00,0.75,0.75,1.00,0.75,0.75,0.75,0.75,0.75,0.75,0.50,0.50"
who is the best basketball player in 2019,30,,0.00,0.00,,,,"0.63,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.18,0.18"
who is the best basketball player in the world 2019,30,,0.00,0.00,,,,"1.00,0.42,0.42,0.42,0.42,0.42,0.42,0.00,0.42,0.42,0.00,0.28"
who won 2019 ncaa basketball championship,30,,0.00,0.00,,,,"0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.01"
who won basketball championship 2019,30,,0.00,0.00,,,,"0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.11,0.11"
who won the 2019 ncaa basketball tournament,30,,0.00,0.00,,,,"0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.04,0.04"
who won the basketball championship 2019,30,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.66,0.66"
who won the basketball world cup 2019,30,,0.00,0.00,,,,"0.34,0.11,0.11,0.11,0.11,0.00,0.11,0.11,0.00,0.11,0.00,0.07"
who won the ncaa women's basketball championship in 2019,30,,0.00,0.00,,,,"0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.07,0.07"
a 10 basketball tournament 2019,20,,0.00,0.00,,,,"0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.66,0.66"
what is the best basketball team 2019,20,,0.00,0.00,,,,"0.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00"
when does basketball season start 2019,20,,0.00,0.00,,,,"0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.00,0.33,0.00,0.22,0.22"
who won ncaa 2019 basketball,20,,0.00,0.00,,,,"0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.66,0.66"
who won ncaa men's basketball 2019,20,,0.00,0.00,,,,"0.00,0.33,0.00,0.33,0.00,0.33,0.33,0.33,0.33,0.33,0.22,0.22"
who won the 2019 basketball championship nba,20,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.66"
who won the ace family basketball game 2019,20,,0.00,0.00,,,,"0.33,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00"
who won the basketball olympics 2019,20,,0.00,0.00,,,,"0.14,0.14,0.14,0.14,0.14,0.00,0.00,0.00,0.14,0.14,0.09,0.09"
who won the big 10 basketball championship 2019,20,,0.00,0.00,,,,"0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.66,0.00"
who won the big 12 basketball championship 2019,20,,0.00,0.00,,,,"0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.66,0.00"
who won the big ten basketball championship 2019,20,,0.00,0.00,,,,"0.00,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.18,0.00"
who won the college basketball championship 2019,20,,0.00,0.00,,,,"0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
how much money did duke basketball make in 2019,10,,0.00,0.00,,,,1.00
what are the best basketball shoes 2019,10,,0.00,0.00,,,,"0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.00,0.00"
when do 2019 20 basketball cards come out,10,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00"
when does basketball season end 2019,10,,0.00,0.00,,,,"1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66"
when does basketball wives come back on 2019,10,,0.00,0.00,,,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00"
when is final four basketball 2019,10,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00"
when is sec basketball tournament 2019,10,,0.00,0.00,,,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.66,0.00"
when is the 2019 ncaa men's basketball championship game,10,,0.00,0.00,,,,"0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00"
when is the ncaa men's basketball tournament 2019,10,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00"
where are the ncaa basketball tournament sites 2019,10,,0.00,0.00,,,,"0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00"
where is ncaa basketball national championship 2019,10,,0.00,0.00,,,,"0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
where is the 2019 all star basketball game,10,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00"
where is the big ten basketball tournament 2019,10,,0.00,0.00,,,,"0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00"
where is the national championship 2019 basketball,10,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00"
where is the ncaa basketball national championship 2019,10,,0.00,0.00,,,,"0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00"
who is in the usa basketball team 2019,10,,0.00,0.00,,,,"0.00,0.14,0.14,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
who is on the usa basketball team 2019,10,,0.00,0.00,,,,"0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
who is the best basketball player in the nba 2019,10,,0.00,0.00,,,,"0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00"
who is the best basketball player of 2019,10,,0.00,0.00,,,,"0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.33,0.33,0.00,0.22,0.22"
who played in the ace family basketball game 2019,10,,0.00,0.00,,,,"0.00,0.42,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.00,0.00,0.00"
who to draft fantasy basketball 2019,10,,0.00,0.00,,,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00"
who will win ncaa basketball championship 2019,10,,0.00,0.00,,,,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.66,0.66"
who won 2019 ncaa basketball tournament,10,,0.00,0.00,,,,"0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.66,0.66"
who won 2019 sec basketball tournament,10,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.66,0.66"
who won acc basketball tournament 2019,10,,0.00,0.00,,,,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00"
who won the women's ncaa basketball championship 2019,10,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00"
who won women's ncaa basketball 2019,10,,0.00,0.00,,,,"0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.66,0.66"
a 10 basketball bracket 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a 10 basketball schedule 2018-2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a 10 men's basketball tournament 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.66,0.00"
a 10 teams in 2019 ncaa basketball tounements,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a div basketball 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a division basketball 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a division basketball 2019 fixtures,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a division basketball 2019 results,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00"
a rod basketball classic miami 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a rod classic basketball 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a&m and lsu basketball game january 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a&m basketball 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a&m basketball camp 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a&m basketball recruits 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a&m basketball schedule 2019-2020,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 basketball predictions 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 basketball predictions 2019-2020,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 basketball rankings 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 basketball standings 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 basketball tournament bracket 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 basketball tournament results 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 men's basketball 2019 playoff bracket,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 men's basketball tournament 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 mens basketball champion 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 mens basketball title 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 mens basketball title 2019 and st louis univ,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a-10 women's basketball tournament 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
are the 2019 summit league basketball games on radio,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
are the georgia bulldogs basketball team ncaa 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
are the uconn men's basketball in the 2019 playoffs,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
are there any undefeated mens college basketball terams in 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
can i pre buy randolph macon mens basketball tickets 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
can i watch texas state basketball tournament 2019 live stream,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
can purdue beat virginia in ncaa basketball 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
can us basketball team win gold 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
can you pre buy randolph macon mens basketball tickets 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
can you watch 2019 draft.combine basketball on line,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
can you watch 2019 draft.combine basketball online,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
could psu basketball play in 2019 nit,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
de la salle basketball 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
de la salle basketball camp 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
de la salle basketball players 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
de la salle basketball roster 2018-2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
de la salle basketball roster 2019,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
de la salle basketball roster 2019 uaap senior,0,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
