Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
a p ncaa basketball rankings,1600,91,0.00,0.00,75,Informational,"Featured snippet, Image pack, Knowledge panel, People also ask, Video","1.00,0.10"
when do college basketball rankings come out,1000,97,0.00,0.00,66,Informational,"Featured snippet, Image pack, People also ask, Video","0.00,0.00,0.00,0.00,0.00,0.53,0.10,1.00,0.16,0.00,0.00"
when do ncaa basketball rankings come out,590,90,0.00,0.00,72,Informational,"Featured snippet, Image pack, People also ask, Reviews, Video","0.02,0.01,0.01,0.01,0.01,0.04,0.84,0.68,1.00,0.68,0.20,0.01"
when does ncaa basketball rankings come out,480,89,0.00,0.00,70,Informational,"Image pack, People also ask, Video","0.02,0.01,0.01,0.01,0.01,0.04,0.84,0.68,0.84,0.68,0.20,0.01"
when does the ncaa basketball rankings come out,480,89,0.00,0.00,77,Informational,"Featured snippet, Image pack, People also ask, Video","0.02,0.01,0.01,0.01,0.01,0.03,0.52,0.68,1.00,0.68,0.25,0.01"
what is duke basketball ranked,260,76,0.00,0.00,95,Informational,"Featured snippet, Image pack, People also ask, Video","0.01,0.01,0.02,0.01,0.02,0.03,0.30,0.24,0.30,0.36,1.00,0.16"
what is duke ranked in basketball,260,78,0.00,0.00,90,Informational,"Featured snippet, Image pack, People also ask, Site links, Video","0.01,0.01,0.02,0.01,0.01,0.03,0.30,0.24,0.30,0.36,0.76,0.13"
when are ncaa basketball rankings updated,260,84,0.00,0.01,98,Informational,"People also ask, Video","0.04,0.02,0.02,0.02,0.02,0.02,0.39,0.39,0.72,0.72,0.39,0.03"
what rank is duke basketball,210,81,0.00,0.00,90,Informational,"Featured snippet, Image pack, People also ask, Video","0.01,0.01,0.02,0.01,0.02,0.03,0.30,0.20,0.24,0.36,0.67,0.16"
what is kentucky basketball ranked,170,58,0.00,0.00,70,Informational,"Featured snippet, Image pack, People also ask, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.07,0.16,0.24,0.13,0.01"
what is kentucky's ranking in basketball,170,64,0.00,0.00,63,Informational,"Image pack, People also ask, Video","0.00,0.05,0.05,0.00,0.08,0.23,0.35,0.54,1.00,0.54,0.05"
what is ky basketball ranked,170,64,0.00,0.00,67,Informational,"Featured snippet, Image pack, People also ask, Video","0.00,0.00,0.00,0.05,0.00,0.08,0.23,0.35,0.81,1.00,0.81,0.05"
what is arkansas ranked in basketball,140,56,0.00,0.00,61,Informational,"Featured snippet, Image pack, People also ask, Video","0.03,0.03,0.00,0.03,0.03,0.03,0.03,0.03,0.11,1.00,0.21,0.01"
what is baylor ranked in basketball,140,82,0.00,0.00,81,Informational,"Featured snippet, Image pack, People also ask, Video","0.03,0.03,0.03,0.00,0.03,0.03,0.03,0.03,0.11,0.11,0.11,0.02"
when do basketball rankings come out,140,88,0.00,0.00,86,Informational,"Image pack, People also ask, Video","0.07,0.03,0.02,0.01,0.03,0.02,0.39,0.39,0.48,0.26,0.04,0.01"
has purdue ever been ranked #1 in basketball,110,55,0.00,0.00,59,Informational,"Featured snippet, People also ask, Site links","0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.81,0.02,0.06,0.02,0.02"
how to get ranked in basketball,110,42,1.02,0.05,65000000,Informational,"Featured snippet, People also ask, Reviews, Video carousel","0.42,0.42,0.66,0.66,0.33,0.33,0.66,0.42,0.66,0.66,0.42,1.00"
what are the ncaa basketball rankings,110,83,0.00,0.00,99,Informational,"Featured snippet, People also ask, Reviews, Video","0.17,0.07,0.07,0.07,0.07,0.07,0.53,0.28,0.53,0.82,0.82,0.07"
what is arkansas basketball ranked,110,50,0.00,0.02,79,Informational,"Featured snippet, Image pack, People also ask, Video","0.07,0.03,0.03,0.00,0.03,0.03,0.03,0.07,0.12,0.81,0.29,0.02"
what is auburn ranked in basketball,110,54,0.00,0.00,58,Informational,"Featured snippet, Image pack, People also ask, Video carousel, Video","0.00,0.07,0.07,0.07,0.07,0.07,0.28,0.28,1.00,0.66,0.05"
what is purdue ranked in basketball,110,60,0.00,0.00,84,Informational,"Featured snippet, Image pack, People also ask, Video","0.26,0.11,0.00,0.00,0.11,0.11,0.80,1.00,1.00,0.80,1.00,0.03"
what is unc ranked in basketball,110,50,0.00,0.00,68,Informational,"Image pack, People also ask, Video carousel","0.02,0.07,0.07,0.07,0.07,0.07,0.28,0.28,0.35,0.43,1.00,0.35"
has purdue ever been ranked 1 in basketball,90,55,0.00,0.00,57,Informational,"Featured snippet, People also ask, Site links","0.00,0.00,0.00,0.00,0.00,0.18,1.00,0.05,0.01,0.01,0.03"
what is gonzaga ranked in basketball,90,81,0.00,0.00,85,Informational,"Featured snippet, Image pack, People also ask, Video carousel","0.00,0.06,0.06,0.00,0.06,0.06,0.22,0.22,0.22,0.22,1.00,0.02"
what is purdue basketball ranked,90,57,0.00,0.00,1420000,Informational,"Featured snippet, People also ask, Video","0.26,0.11,0.11,0.11,0.11,0.11,0.53,1.00,0.42,0.42,0.42,0.07"
what is the ncaa basketball rankings,90,89,0.00,0.00,91,Informational,"Image pack, Instant answer, People also ask, Video","0.00,0.09,0.09,0.09,0.09,0.09,0.34,0.34,0.65,0.81,0.81,0.09"
what is unc basketball ranked,90,50,0.00,0.00,86,Informational,"Image pack, People also ask, Video","0.03,0.03,0.03,0.03,0.03,0.03,0.12,0.12,0.12,0.12,0.36,0.12"
a&m basketball ranking,70,39,0.00,0.00,94,Informational,"Featured snippet, Image pack, People also ask","1.00,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.64,0.17,0.64,0.11"
