Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who is inventor of basketball,4400,66,0.00,0.00,5690000,Informational,"Featured snippet, Knowledge panel, People also ask, Reviews, Site links, Video carousel","0.54,0.44,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.13,0.00,0.29"
who was the inventor of basketball,3600,75,1.49,0.00,5730000,Informational,"Featured snippet, Knowledge panel, People also ask, Reviews, Site links, Video","0.54,0.44,0.00,0.00,0.00,0.03,0.00,0.19,0.16,0.19,0.00,0.44"
a basketball,2400,87,1.61,0.96,1450000000,"Informational, Transactional","FAQ, Image, Image pack, People also ask, Reviews, Site links, Top stories, Video carousel","0.43,0.36,0.36,0.43,0.43,0.36,0.54,0.43,0.65,0.54,1.00,0.54"
what is rpi in basketball,1600,58,0.00,0.00,4690000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.00,0.00,0.00,0.01,0.00,0.03,0.36,0.24,0.29,1.00,0.13,0.00"
what is a carry in basketball,1300,28,0.00,0.00,157000000,Informational,"Knowledge panel, People also ask, Site links, Video carousel, Video","0.07,0.07,0.52,0.44,0.04,0.36,0.52,0.13,0.44,0.44,1.00,0.52"
what is carry in basketball,1300,28,0.00,0.00,85900000,Informational,"Knowledge panel, People also ask, Site links, Video carousel, Video","0.44,0.44,0.55,0.44,0.34,0.01,0.55,0.03,0.55,0.55,1.00,0.34"
who is the goat of basketball,1300,52,0.00,0.00,35800000,Informational,"Featured snippet, Knowledge panel, People also ask, Reviews, Site links, Video carousel, Video","0.24,0.44,0.34,0.34,0.30,0.34,0.34,0.34,0.44,0.44,0.55,1.00"
what is basketball,1000,62,0.00,0.01,1100000000,Informational,"FAQ, Instant answer, Knowledge panel, People also ask, Reviews, Site links, Video carousel","0.68,0.68,0.46,0.37,0.46,0.68,0.52,0.68,0.84,0.68,0.46,1.00"
what is bonus in basketball,1000,34,0.00,0.00,82400000,Informational,"Knowledge panel, People also ask, Site links, Video","0.16,0.44,0.10,0.01,0.01,0.04,0.20,0.27,0.44,0.66,1.00,1.00"
what is goaltending in basketball,880,39,0.00,0.00,666000,Informational,"Knowledge panel, People also ask, Site links, Video carousel, Video","0.25,0.68,1.00,0.20,0.07,0.07,0.16,0.52,0.52,0.52,0.84,0.84"
when is 2k22 coming out basketball,880,62,0.00,0.00,4550000,Informational,"Featured snippet, Image, People also ask, Reviews, Site links, Video","0.00,0.36,0.81,1.00,0.36,0.01,0.00,0.00,0.00,0.00,0.00,0.00"
who is the goat in basketball,880,49,0.00,0.00,17600000,Informational,"Featured snippet, Knowledge panel, People also ask, Reviews, Site links, Video carousel, Video","0.45,0.81,0.08,0.45,0.04,0.36,0.45,0.62,0.81,1.00,1.00,1.00"
how is def rtg in basketball,720,55,0.00,0.00,63,Informational,"Featured snippet, People also ask","1.00,0.00,0.00,0.00,0.00"
what is a turnover in basketball,720,31,0.00,0.00,13400000,Informational,"Knowledge panel, People also ask, Site links, Video","0.16,0.16,0.31,0.31,0.07,0.20,1.00,0.46,0.52,0.31,0.37,0.13"
what is the bonus in basketball,720,34,0.00,0.00,56800000,Informational,"Knowledge panel, People also ask, Site links, Video","0.29,0.81,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.10,0.29,0.16"
where is gonzaga basketball,720,75,0.00,0.00,11500000,Informational,"Featured snippet, Reviews, Site links, Video","0.01,0.01,0.01,0.01,0.00,0.00,0.07,0.01,0.01,0.02,0.24,0.00"
where is st peter's basketball,720,65,0.00,0.00,3930000,Informational,"Image pack, Instant answer, Knowledge panel, People also ask, Reviews, Site links, Video carousel","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00"
how many timeouts in basketball,590,53,0.00,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Site links, Video","0.16,0.16,0.13,0.03,0.05,0.24,0.76,1.00,1.00,0.76,0.76,0.55"
how to deflate a basketball,590,18,0.00,0.00,1750000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.67,0.81,1.00,1.00,0.54,0.44,0.67,0.67,0.44,0.54,0.67,0.67"
what is a dime in basketball,590,30,0.00,0.00,14900000,Informational,"Featured snippet, People also ask, Site links, Video","0.45,0.36,0.24,0.16,0.16,0.30,0.45,0.10,0.62,0.45,1.00,0.36"
what is goaltending basketball,590,39,0.00,0.00,850000,Informational,"Knowledge panel, People also ask, Video carousel, Video","0.41,1.00,0.24,0.10,0.05,0.07,0.08,0.13,0.08,0.08,0.24,0.10"
where is villanova basketball,590,70,0.00,0.00,9350000,"Informational, Transactional","Image pack, Instant answer, Knowledge panel, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.81,1.00"
a picture of a basketball,480,50,1.63,1.00,600000000,"Informational, Commercial","Image, Image pack, Reviews, Video","0.76,0.67,0.16,0.24,0.30,0.30,0.06,0.20,0.30,0.20,0.45,0.03"
how many panels on a basketball,480,37,0.00,0.00,13100000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.72,0.00,0.72,0.39,0.39,0.72,1.00,1.00,0.01,0.01,0.01"
how to palm a basketball,480,35,0.00,0.00,72100000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video carousel, Video","0.66,0.66,0.66,0.44,0.66,1.00,0.66,0.81,0.66,0.54,0.81,0.81"
what is 3x3 basketball,480,59,0.00,0.00,20100000,Informational,"Knowledge panel, People also ask, Reviews, Site links, Video carousel","0.00,0.02,1.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
