Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
when did michael jordan start playing basketball,880,83,0.00,0.00,71600000,Informational,"FAQ, Instant answer, Knowledge panel, People also ask, Reviews, Site links, Video","0.55,0.45,0.76,0.55,0.67,0.67,0.76,0.76,0.55,1.00,0.67,1.00"
does michael jordan still play basketball,720,38,0.00,0.01,84200000,Informational,"FAQ, Featured snippet, Knowledge panel, People also ask, Site links, Video carousel","0.30,0.30,1.00,0.36,0.30,0.30,0.45,0.45,0.55,0.62,0.55,0.45"
when did michael jordan started playing basketball,720,75,0.00,0.00,56100000,Informational,"FAQ, Featured snippet, People also ask, Video","0.55,0.45,1.00,0.55,0.67,0.00,0.00,0.67,0.67,1.00,0.45,0.76"
when did michael jordan start to play basketball,590,80,0.00,0.00,0,"Informational, Transactional","Carousel, FAQ, Knowledge panel, People also ask, Reviews, Site links, Video","0.55,0.45,1.00,0.45,0.55,0.00,0.00,0.55,0.24,1.00,0.55,0.36"
how much are michael jordan basketball cards worth,390,50,0.65,1.00,3530000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews, Site links, Video","0.81,0.54,0.81,0.54,0.44,0.66,0.54,0.54,0.66,0.54,0.54,0.54"
what basketball team does michael jordan own,390,48,0.00,0.00,15900000,Informational,"Featured snippet, People also ask, Site links, Video","0.81,0.66,0.66,0.44,0.28,0.54,0.81,0.54,0.81,0.81,0.81,1.00"
does michael jordan own a basketball team,320,42,0.00,0.00,12800000,Informational,"Featured snippet, Image pack, People also ask, Site links, Video","0.23,0.19,0.29,0.19,0.29,0.54,0.81,0.36,0.81,1.00,0.54,0.66"
where did michael jordan play college basketball,320,65,0.00,0.00,14300000,Informational,"Instant answer, Knowledge panel, People also ask, Site links, Video carousel","0.00,0.30,0.30,0.30,0.00,0.30,0.55,1.00,0.00,0.08,0.00,0.24"
do michael jordan own a basketball team,260,36,0.00,0.00,17400000,Informational,"Featured snippet, People also ask, Site links, Video","0.35,0.29,0.43,0.22,0.43,0.81,1.00,0.43,0.66,0.66,0.66,0.81"
is michael jordan the best basketball player,260,53,0.00,0.03,27300000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel","0.44,0.23,0.81,0.44,0.23,0.28,0.28,0.28,0.54,1.00,0.81,0.44"
when did michael jordan quit basketball,260,56,0.00,0.00,0,Informational,"Carousel, FAQ, Knowledge panel, People also ask, Site links, Video","0.23,1.00,0.00,0.54,0.54,1.00,0.04,0.04,0.04,0.02,0.02"
are jordan 1s good for basketball,210,33,0.00,0.38,100,Informational,"FAQ, Featured snippet, Image, Image pack, People also ask, Reviews, Site links, Video carousel","1.00,0.04,0.11,0.11,0.14,0.14,0.26,0.17,0.14,0.14,0.21,0.04"
when did michael jordan stop playing basketball,210,51,0.00,0.00,10700000,Informational,"Featured snippet, People also ask, Site links, Video","0.35,0.29,0.66,0.35,0.22,0.35,0.29,0.35,0.43,1.00,0.35,0.43"
where can i sell my michael jordan basketball cards,210,57,0.85,0.86,4800000,Transactional,"Adwords bottom, Image pack, Local pack, People also ask, Reviews, Site links, Video","0.81,0.81,1.00,0.65,0.65,0.43,0.43,0.53,0.43,0.43,0.53,0.43"
do michael jordan still play basketball,170,30,0.00,0.01,62100000,Informational,"FAQ, Featured snippet, People also ask, Site links, Video carousel","0.00,0.00,0.00,0.00,0.00,0.00,0.04,1.00,0.81,0.81,0.66"
how long did michael jordan play basketball,170,70,0.00,0.00,31000000,Informational,"FAQ, Featured snippet, People also ask, Site links, Video","0.53,0.53,1.00,0.65,0.80,1.00,1.00,1.00,0.53,0.53,0.53,0.42"
how many years did michael jordan play basketball,170,69,0.00,0.00,30300000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Site links, Video carousel","0.53,0.80,0.65,0.65,0.53,0.53,0.53,0.65,0.65,1.00,1.00,0.53"
what years did michael jordan play basketball,170,75,0.00,0.00,34800000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Site links, Video carousel","0.65,1.00,1.00,0.65,0.53,0.53,0.65,0.65,0.80,0.80,0.80,0.80"
when did michael jordan retire from basketball,170,53,0.00,0.00,0,Informational,"Carousel, FAQ, Knowledge panel, People also ask, Site links, Video","0.23,0.23,1.00,0.35,0.01,0.23,0.11,0.28,0.28,0.35,0.35,0.03"
are jordan 11 good for basketball,140,26,0.00,0.23,100,Informational,"FAQ, Featured snippet, Image, People also ask, Reviews, Video carousel","0.00,0.42,0.42,0.42,0.53,0.53,1.00,1.00,0.65,0.53,0.53,0.53"
can you play basketball in jordan 1,140,33,0.00,0.14,180000000,Informational,"FAQ, Featured snippet, Image, Image pack, People also ask, Reviews, Site links, Video carousel","0.04,0.14,0.42,0.52,0.66,0.52,1.00,0.80,0.80,0.52,1.00,0.80"
did michael b jordan play basketball,140,46,0.00,0.00,15000000,Informational,"Featured snippet, People also ask, Video carousel, Video","1.00,0.42,0.80,0.42,0.26,0.65,0.34,0.53,0.34,0.42,0.19,0.26"
does michael b jordan play basketball,140,44,0.00,0.00,12300000,Informational,"Image pack, People also ask, Site links, Video","0.65,0.42,1.00,0.34,0.26,0.42,0.34,0.53,0.42,0.53,0.34,0.34"
is michael jordan still playing basketball,140,39,0.00,0.00,71500000,Informational,"FAQ, Featured snippet, People also ask, Site links, Video carousel","0.42,0.42,1.00,0.65,0.34,0.34,0.42,0.42,0.65,1.00,0.26,0.26"
are jordan 1 basketball shoes,110,47,0.00,0.41,92,Informational,"FAQ, Image, Image pack, People also ask, Reviews, Site links, Video carousel","0.09,0.14,0.14,0.52,0.19,1.00,0.80,0.66,0.80,0.52,0.52,0.52"
are jordan 1 good for basketball,110,29,0.00,0.58,239000000,Informational,"FAQ, Featured snippet, Image, Image pack, People also ask, Reviews, Site links, Video carousel","0.64,0.64,0.64,0.64,0.82,0.82,1.00,0.82,0.64,0.64,0.52,0.52"
did michael jordan retire from basketball,110,51,0.00,0.00,0,Informational,"Carousel, FAQ, Knowledge panel, People also ask, Site links, Video","0.29,0.04,1.00,0.15,0.04,0.04,0.04,0.04,0.12,0.04,0.02,0.02"
is michael jordan coming back to basketball,110,,0.00,0.00,,,,"0.66,0.12,0.12,0.12,0.12,1.00,0.12,0.43,0.12,0.12,0.12,0.12"
is michael jordan still play basketball,110,30,0.00,0.00,71300000,Informational,"FAQ, Featured snippet, People also ask, Site links, Video carousel","0.42,0.42,1.00,0.66,0.33,0.33,0.33,0.42,0.66,0.66,0.23,0.23"
what basketball team did michael jordan play for,110,59,0.00,0.00,0,Informational,"Carousel, FAQ, Knowledge panel, People also ask, Site links, Video","0.66,0.52,1.00,0.52,0.42,0.42,0.42,0.33,0.52,0.52,0.23,0.42"
