Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what size basketball for 8 year old,1300,50,0.00,0.00,144000000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews","1.00,0.13,0.13,0.13,0.16,0.29,0.54,0.54,0.22,0.13,0.20,0.13"
what size is a nba basketball,1000,47,0.52,0.81,84100000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.66,0.66,0.54,0.66,0.54,0.10,0.16,1.00,0.16,0.16,0.24,0.24"
what size is nba basketball,1000,48,0.52,0.81,87600000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links","0.68,0.68,0.68,0.84,0.46,0.11,0.68,1.00,0.13,0.13,0.25,0.20"
what size is the nba basketball,1000,47,0.52,0.81,115000000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.54,0.54,0.66,0.66,0.54,0.00,0.00,1.00,0.05,0.01,0.08,0.07"
what is the nba basketball size,880,42,0.56,0.86,72800000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.54,0.54,0.54,0.54,0.54,0.02,0.03,1.00,0.05,0.05,0.04,0.02"
what is the size of a nba basketball,880,55,0.56,0.86,99600000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.66,0.66,0.66,0.66,0.41,0.03,0.05,1.00,0.02,0.00,0.04,0.07"
what size is an nba basketball,880,47,0.52,0.81,88400000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.16,0.16,0.66,0.54,0.54,0.10,0.20,1.00,0.16,0.16,0.30,0.41"
what is the size of the nba basketball,720,46,0.52,0.81,126000000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.54,0.54,0.66,0.00,0.54,0.00,0.00,1.00,0.01,0.00,0.01,0.02"
what size basketball nba,720,46,0.52,0.81,100000000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","1.00,1.00,0.84,0.00,0.68,0.00,0.00,0.04,0.00,0.01,0.01,0.00"
what is nba size basketball,590,54,0.52,0.81,88000000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.30,0.45,0.81,0.62,0.81,1.00,0.62"
what size basketball for 10 year old,590,46,0.00,0.00,171000000,Informational,Reviews,"0.04,0.05,0.00,0.03,0.07,0.20,0.22,0.36,0.20,0.16,0.16,1.00"
what size basketball for 13 year old,590,49,0.00,0.00,83900000,Informational,"Featured snippet, Image, People also ask, Reviews","0.20,0.20,0.16,0.20,0.24,0.45,1.00,0.81,0.20,0.10,0.16,0.20"
what size basketball for 7 year old,590,49,0.00,0.00,139000000,Informational,"Featured snippet, Image, People also ask, Reviews","0.16,0.02,0.01,0.10,0.08,0.36,0.66,1.00,0.30,0.20,0.30,0.30"
