Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who won the ncaa basketball championship in 2022,6600,46,0.00,0.00,74100000,"Informational, Commercial","FAQ, Image pack, Instant answer, People also ask, Site links, Video carousel, Video","0.00,0.03,1.00"
who won the basketball game last night,5400,87,0.00,0.00,90,Informational,"Instant answer, People also ask","0.16,0.54,1.00,0.07,0.04,0.08,0.03,0.01,0.00,0.01,0.13,0.44"
who won last night basketball game,3600,87,0.00,0.00,309000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.00,0.02,0.16,0.08,0.00,0.13,0.08,0.08,0.08,0.10,0.36,1.00"
who won the ncaa basketball championship in 2021,3600,71,0.00,0.01,70600000,Informational,"FAQ, Image pack, Instant answer, People also ask, Reviews, Site links, Video carousel, Video","0.24,0.13,0.16,0.04,0.02,0.03,0.19,0.04,0.04,0.05,0.44,0.29"
who won ncaa basketball 2021,2400,69,0.00,0.00,156000000,Informational,"Instant answer, People also ask, Reviews, Site links, Video carousel, Video","0.13,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.08"
who won the basketball game tonight,2400,100,0.00,0.00,83,Informational,"Instant answer, People also ask","0.10,0.54,1.00,0.07,0.05,0.10,0.05,0.07,0.05,0.05,0.19,0.36"
who won college basketball championship 2022,1900,46,0.00,0.00,126000000,"Informational, Commercial","FAQ, Instant answer, People also ask, Site links, Video carousel, Video","0.00,1.00"
who won ncaa basketball 2022,1900,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,1.00"
has gonzaga ever won a national championship in basketball,1600,55,0.00,0.00,3820000,Informational,"FAQ, Featured snippet, People also ask, Video","0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.04,0.00"
who won the basketball game,1600,98,0.00,0.00,93,Informational,"Image pack, Instant answer, People also ask, Site links","0.18,0.81,1.00,0.07,0.01,0.10,0.10,0.10,0.08,0.10,0.29,1.00"
who won the basketball game today,1300,87,0.00,0.00,93,Informational,"Instant answer, People also ask, Reviews, Site links","0.44,1.00,0.80,0.04,0.01,0.10,0.10,0.13,0.10,0.10,0.52,0.52"
who won the game last night basketball,1300,86,0.00,0.00,437000000,Informational,"Instant answer, People also ask, Reviews, Video","0.16,0.54,1.00,0.04,0.02,0.04,0.03,0.04,0.04,0.04,0.43,0.54"
who won the game today basketball,1000,89,0.00,0.00,128000000,Informational,"Instant answer, People also ask, Site links","0.44,1.00,0.66,0.03,0.01,0.08,0.08,0.10,0.10,0.08,0.52,0.24"
who won the ncaa basketball championship in 2020,1000,75,0.00,0.00,44600000,Informational,"Featured snippet, People also ask, Site links, Video carousel","0.22,0.22,0.10,0.04,0.07,0.05,0.43,0.13,0.08,0.13,0.65,0.36"
who won today's basketball game,1000,96,0.00,0.00,57400000,Informational,"Instant answer, People also ask, Site links","0.43,1.00,0.65,0.00,0.01,0.05,0.07,0.08,0.08,0.07,0.29,0.22"
who won tonight's basketball game,1000,84,0.00,0.00,9040000,Informational,"Instant answer, People also ask, Reviews, Site links","0.04,0.30,0.82,0.30,0.03,0.34,0.30,0.24,0.20,0.20,0.44,1.00"
