Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
haven girls wildcat basketball,1300,13,0.00,0.00,93,Informational,"Image pack, Video","1.00,0.00,0.00,0.00"
haven wildcat girls basketball,1300,13,0.00,0.00,92,Informational,"Image pack, Video","1.00,0.00,0.00,0.00"
what size is a girls basketball,390,50,0.00,0.00,135000000,Informational,"Featured snippet, Image pack, People also ask","0.29,0.05,0.36,0.29,0.54,0.36,1.00,0.81,0.81,0.36,0.44,0.36"
how to style a basketball jersey girl,170,35,0.00,0.00,66,Informational,"Featured snippet, People also ask, Reviews","0.53,0.43,0.43,0.28,0.34,0.53,0.43,0.43,0.53,0.53,0.53,0.43"
what size basketball for 12 year old girl,140,48,0.00,0.00,54400000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews, Site links, Video","0.05,0.02,0.00,0.00,0.01,0.00,0.01,1.00,0.00,0.00,0.00,0.00"
how to wear basketball jersey girl,110,48,0.00,0.00,58,Informational,"Featured snippet, People also ask","1.00,0.64,0.52,0.64,1.00,0.82,0.41,0.64,0.52,0.82,0.82"
how to wear basketball shorts as a girl,110,27,0.00,0.01,87,Informational,"People also ask, Site links","1.00,0.50,0.35,0.07,0.00,0.07,0.00,0.00,0.07,0.07,0.14"
what size basketball for 8 year old girl,90,48,0.00,0.00,68400000,Informational,"Featured snippet, Image, Image pack, People also ask, Reviews, Video","0.03,0.03,0.00,0.00,0.00,1.00,0.05,0.05,0.01,0.00,0.00,0.02"
how to wear a basketball jersey girl,70,50,0.00,0.00,52,Informational,"Featured snippet, People also ask","1.00,0.28,0.21,0.35,0.50,0.50,0.35,0.28,0.21,0.64,0.35"
what to wear to a basketball game girl,70,30,0.00,0.00,44400000,Informational,"Featured snippet, Image pack, People also ask, Site links, Video","1.00,0.71,0.42"
what size is girls basketball,50,49,0.00,0.00,108000000,Informational,"Featured snippet, Image pack, People also ask, Reviews","0.18,0.27,0.09,0.27,0.27,0.27,0.81,1.00,0.63,0.36,0.45,0.00"
what's the score of the iowa girls basketball game,50,51,0.00,0.00,13500000,Informational,"Featured snippet, People also ask, Site links, Video","1.00,0.00"
de pere girls basketball,40,15,0.00,0.00,47,Informational,"Featured snippet, Video carousel, Video","0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,1.00,0.00"
how big is a girls basketball,40,49,0.00,0.00,251000000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.23,0.23,0.14,0.00,0.14,0.00,0.33,0.66,0.19,0.19,0.33,0.00"
how long is a girls high school basketball game,40,23,0.00,0.00,135000000,Informational,"Featured snippet, People also ask, Site links, Video carousel","1.00,0.17,0.00,0.00,0.00,0.00,0.17,0.52,0.41,0.41,0.41,0.00"
how to style basketball jersey girl,40,42,0.00,0.00,52,Informational,"Image, Image pack, People also ask, Reviews, Site links, Video carousel, Video","0.80,0.60,1.00"
what size basketball for high school girl,40,,0.00,0.00,,,,"0.04,0.14,0.00,0.09,0.00,0.33,0.00,1.00,0.00,0.00,0.42,0.14"
how to coach girls basketball,30,,0.00,0.00,,,,"0.00,0.27,0.09,0.18,0.00,0.63,1.00,0.00,0.36,0.27,0.09,0.00"
what size basketball for 6th grade girl,30,,0.00,0.00,,,,"1.00,0.33,0.00,0.00,0.00,0.11,0.77,0.55,0.22,0.11,0.11,0.00"
what to wear to basketball practice girl,30,,0.00,0.00,,,,"1.00,0.07,0.00,0.00,0.07,0.78,0.00,0.00,0.00,0.00,0.00"
can girls play basketball,20,,0.00,0.00,,,,"0.09,1.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00"
how long is a girls basketball game,20,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00"
how to motivate girl basketball players,20,,0.00,0.00,,,,"1.00,0.27,0.09,0.00,0.00,0.00,0.18,0.27,0.00,0.00,0.00,0.00"
how to play girls basketball,20,,0.00,0.00,,,,"0.14,0.42,0.14,0.14,0.42,1.00,0.71,0.42,0.00,0.00,0.00,0.00"
is a 28.5 basketball a girl's ball,20,,0.00,0.00,,,,"1.00,0.42,0.00,0.00,0.00,0.42,0.42,0.42,0.00,0.42,0.00,0.28"
what channel is the iowa state girls basketball game on,20,,0.00,0.00,,,,"1.00,0.00"
what size basketball do high school girls use,20,,0.00,0.00,,,,"0.27,0.27,0.09,0.00,0.00,0.27,0.45,0.63,0.09,0.00,0.18,0.09"
what size basketball for 10 year old girl,20,,0.00,0.00,,,,"0.57,0.42,0.00,0.00,0.00,0.28,0.00,1.00,0.42,0.00,0.00,0.00"
what size basketball for 13 year old girl,20,,0.00,0.00,,,,"0.27,0.27,0.00,0.00,0.00,0.18,0.45,0.45,0.00,0.00,0.00,0.00"
what size basketball for 9 year old girl,20,,0.00,0.00,,,,"1.00,0.27,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00"
what size basketball for girls,20,,0.00,0.00,,,,"0.20,0.40,0.20,0.40,0.60,1.00,1.00,0.00,0.00,0.00,0.40"
what size basketball for middle school girl,20,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.18,0.81,1.00,0.00,0.00,0.00,0.00"
when does iowa girls basketball play,20,,0.00,0.00,,,,"1.00,0.00"
a girl playing basketball,10,,0.00,0.00,,,,"0.00,1.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00"
a girl shooting a basketball,10,,0.00,0.00,,,,"0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
a&m girls basketball,10,,0.00,0.00,,,,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
can girls wear boys basketball shoes,10,,0.00,0.00,,,,"1.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
how long are girls high school basketball games,10,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.80,1.00,0.00,0.00,0.00"
how long are high school girls basketball games,10,,0.00,0.00,,,,"1.00,0.00,0.00,0.00,0.00"
how long does a girls basketball game last,10,,0.00,0.00,,,,"1.00,0.00,0.00"
how long does a girls high school basketball game last,10,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00"
how long is a girls college basketball game,10,,0.00,0.00,,,,"0.00,0.00,1.00,1.00"
how long is a high school girls basketball game,10,,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.40,1.00,1.00,0.00,0.00"
how long is a highschool girls basketball game,10,,0.00,0.00,,,,"1.00,0.00,0.00"
how many girls play basketball,10,,0.00,0.00,,,,"0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
how to be the best girl basketball player,10,,0.00,0.00,,,,"1.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
