Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who was the first black basketball player,480,41,0.00,0.00,326000000,Informational,"Featured snippet, Image pack, People also ask, Site links, Video","0.13,0.08,0.08,0.05,0.07,0.07,0.05,0.07,0.20,1.00,0.20,0.10"
when was basketball first played,390,69,0.00,0.00,236000000,Informational,"FAQ, Image pack, Instant answer, People also ask, Site links, Video","0.36,0.29,0.36,0.36,0.29,0.29,0.44,0.66,0.66,0.81,1.00,0.81"
who was the first basketball player,320,74,0.00,0.00,481000000,Informational,"Featured snippet, Image pack, People also ask, Site links, Video carousel","0.29,0.23,0.23,0.23,0.23,0.29,0.29,0.29,0.54,1.00,0.54,0.29"
when does the first nba basketball game start,260,82,0.00,0.00,204000000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,1.00,0.67,0.36,0.36,0.23,0.19,0.36,0.36"
what was the first basketball made of,210,61,0.00,0.00,605000000,Informational,"FAQ, Image pack, Instant answer, Knowledge panel, People also ask, Reviews, Site links, Video carousel","0.14,0.10,0.08,0.10,0.22,0.66,0.81,0.35,0.35,0.81,1.00,1.00"
when is the first olympic basketball game,210,63,0.00,0.00,72000000,Informational,"Featured snippet, People also ask, Reviews, Video","0.02,0.03,0.11,0.03,0.00,0.39,0.00,1.00,1.00,0.03,0.02,0.02"
when was the first basketball game,210,69,0.00,0.00,784000000,Informational,"FAQ, Featured snippet, People also ask, Site links, Video carousel","0.29,0.22,0.22,0.18,0.66,0.29,0.81,0.66,0.54,1.00,0.43,0.81"
when was the first basketball game played,170,75,0.00,0.00,610000000,Informational,"FAQ, Instant answer, People also ask, Video carousel","0.35,0.23,0.12,0.12,0.28,0.82,0.66,0.53,0.82,0.43,0.35,0.05"
where was basketball first played,170,70,0.00,0.00,239000000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Site links, Video carousel","0.53,0.34,0.34,0.43,0.65,0.15,0.81,1.00,0.34,0.81,1.00,0.43"
who is the first basketball player,170,68,0.00,0.00,447000000,Informational,"Featured snippet, Image pack, People also ask, Site links, Video carousel","0.00,0.00,0.00,0.53,0.00,0.53,0.65,0.65,0.81,1.00,0.81,1.00"
who was the first person to play basketball,170,68,0.00,0.00,284000000,Informational,"Featured snippet, People also ask, Site links, Video carousel","0.30,0.06,0.02,0.03,0.06,0.08,0.13,0.05,0.13,0.20,0.16,0.01"
when was the first official women's basketball game played,140,53,0.00,0.01,187000000,Informational,"Featured snippet, People also ask, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01"
