Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what channel is the michigan basketball game on,590,57,1.60,0.01,92,Informational,"Featured snippet, People also ask, Reviews, Twitter","0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.07,0.10,0.66,0.00"
who is the basketball coach for michigan state,480,49,0.00,0.00,0,Informational,"Carousel, Knowledge panel, People also ask, Site links, Video carousel, Video","0.72,0.72,0.00,0.39,0.39,0.72,1.00,1.00,0.01,0.01,0.01"
when does michigan basketball play again,390,75,0.19,0.00,18900000,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.02,0.04,0.19,0.00"
when does michigan state basketball play,390,74,0.28,0.00,78,Informational,"Image pack, People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.01,0.24,0.36,0.30,0.30,1.00,0.00"
when does michigan state basketball play again,390,71,0.19,0.00,71,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.01,0.00,0.01,0.31,0.37,0.46,0.37,1.00,0.00"
when does michigan state play basketball,390,76,0.28,0.00,92,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.16,0.08,0.54,0.00"
what channel is michigan basketball on,320,49,1.50,0.03,9570000,Informational,"People also ask, Site links","0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.04,0.07,0.36,0.00"
what channel is michigan basketball on today,320,68,1.58,0.01,83,Informational,"People also ask, Twitter","0.00,0.01,0.00,0.01,0.00,0.00,0.04,0.16,0.07,0.13,1.00,0.00"
what channel is the michigan state basketball game on,320,62,1.24,0.01,70,Informational,"Featured snippet, People also ask, Video","0.00,0.00,0.01,0.00,0.00,0.01,0.13,0.16,0.20,0.24,0.79,0.01"
what time does michigan state play basketball today,320,68,0.00,0.00,85,Informational,"People also ask, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.16,0.16,0.31,1.00,0.00"
when does michigan play basketball,320,76,0.00,0.00,91,Informational,"Featured snippet, People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.03,0.03,0.19,0.00"
when does michigan state play basketball again,320,64,0.19,0.00,89,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.20,0.16,0.20,0.00"
when was the last time michigan basketball won the championship,320,59,0.00,0.00,88,Informational,"Featured snippet, Image pack, Reviews, Video","0.00,0.00,0.00,1.00,0.54,0.36,0.36,0.23,0.29,0.44,0.44"
will the real michigan basketball team please stand up,320,11,0.00,0.00,60,Informational,"Image pack, Site links, Video","1.00,0.00"
what channel is michigan state basketball on,260,60,1.35,0.01,69,Informational,"Featured snippet, People also ask, Twitter, Video","0.00,0.02,0.01,0.01,0.01,0.30,0.24,0.30,0.45,1.00,0.00"
what time does michigan state basketball play today,260,74,0.00,0.00,76,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.01,0.00,0.01,0.13,0.16,0.16,0.31,1.00,0.00"
what's the score of the michigan basketball game,260,61,0.00,0.00,100,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.19,0.00"
what's the score of the michigan state basketball game,260,60,0.00,0.00,11400000,Informational,"People also ask, Site links, Twitter, Video","0.00,0.01,0.01,0.00,0.01,0.02,0.25,0.20,0.31,0.46,0.52,0.01"
will michigan state basketball make the tournament,260,56,0.00,0.00,91,Informational,"Featured snippet, Image pack, People also ask, Video","0.00,0.00,0.00,0.39,0.00,0.00,1.00,1.00,0.03,0.03,0.01"
what channel is michigan basketball on tonight,210,62,0.00,0.00,91,Informational,"Featured snippet, Site links, Twitter","0.00,0.02,0.00,0.00,0.02,0.36,0.20,0.10,0.10,1.00,0.00"
what channel is michigan state basketball on today,210,66,1.58,0.01,71,Informational,"Featured snippet, People also ask, Video","0.05,0.02,0.02,0.00,0.02,0.02,0.13,0.13,0.20,0.30,1.00,0.00"
when does michigan play basketball again,210,70,0.00,0.00,27800000,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.02,0.03,0.08,0.00"
who won the michigan basketball game,210,62,0.00,0.00,79,Informational,"Image pack, People also ask, Site links, Twitter, Video carousel","0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.03,0.12,0.00"
who won the michigan tennessee basketball game,210,54,0.00,0.00,92,Informational,"Image pack, Instant answer, People also ask, Video carousel, Video","1.00,0.00"
did michigan women's basketball win,170,59,0.00,0.00,96,Informational,"Featured snippet, Image pack, People also ask, Site links, Video carousel","1.00,0.00"
how to watch michigan basketball,170,51,0.00,0.00,85,Informational,People also ask,"0.01,0.01,0.01,0.00,0.01,0.00,0.20,0.07,0.05,0.08,0.52,0.00"
what channel is the michigan basketball game on tonight,170,50,1.35,0.00,82,Informational,"People also ask, Twitter","0.00,0.01,0.00,0.01,0.01,0.01,0.16,0.13,0.08,0.08,0.52,0.00"
what time is the michigan michigan state basketball game today,170,74,0.00,0.00,80,Informational,"People also ask, Reviews, Video","0.00,0.03,0.03,0.72,0.03,0.03,0.03,1.00,0.26,0.03,0.02,0.02"
when does michigan basketball play,170,71,1.79,0.00,0,Informational,"Carousel, Featured snippet, Image pack, People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.03,0.03,0.16,0.00"
when does michigan state basketball play next,170,69,0.00,0.00,75,Informational,"People also ask, Reviews, Site links, Twitter, Video carousel","0.01,0.01,0.02,0.01,0.01,0.01,0.16,0.30,0.24,0.24,0.45,0.00"
when is michigan's next basketball game,170,72,0.10,0.00,86,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.04,0.10,0.00"
who won the michigan state basketball game,170,77,0.00,0.00,86,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Twitter, Video carousel","0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.04,0.11,0.11,0.52,0.00"
does michigan basketball team play today,140,65,0.00,0.00,97,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01"
how to watch michigan basketball today,140,57,0.00,0.00,72,Informational,"Featured snippet, People also ask, Twitter","0.00,0.00,0.00,0.00,0.02,0.10,0.08,0.08,0.08,1.00,0.00"
what is the score of the michigan state basketball game,140,56,0.00,0.00,11500000,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.01,0.01,0.02,0.01,0.01,0.01,0.10,0.10,0.16,0.16,0.55,0.00"
what time does michigan basketball play,140,71,0.00,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Site links, Twitter, Video","0.00,0.01,0.01,0.00,0.01,0.01,0.05,0.05,0.02,0.04,0.68,0.00"
what time does michigan play basketball today,140,71,0.00,0.00,57900000,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.04,0.20,0.00"
what time is michigan state basketball game today,140,74,0.00,0.00,79,Informational,"People also ask, Site links, Video","0.00,1.00,0.00,0.04,0.04,0.04,0.04,0.15,0.06,0.44,0.02"
what time is the michigan state basketball game,140,74,0.00,0.00,68,Informational,"People also ask, Reviews, Site links, Video carousel, Video","0.03,0.03,0.03,0.03,0.03,0.02,0.07,0.11,0.14,0.17,0.72,0.01"
when does michigan basketball play next,140,74,0.00,0.00,96,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.13,0.00"
when does michigan state play basketball next,140,71,0.00,0.00,87,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.03,0.00,0.03,0.44,0.23,0.54,0.54,1.00,0.01"
when is michigan state's next basketball game,140,71,0.00,0.00,85,Informational,"Image pack, People also ask, Site links, Video","0.01,0.01,0.02,0.01,0.01,0.01,0.16,0.20,0.24,0.24,0.45,0.00"
when is the next michigan state basketball game,140,75,0.00,0.00,83,Informational,"People also ask, Reviews, Site links, Top stories, Video carousel, Video","0.02,0.02,0.03,0.02,0.02,0.02,0.17,0.26,0.39,0.32,0.39,0.01"
does michigan state play basketball today,110,76,0.00,0.00,84,Informational,"People also ask, Site links, Twitter, Video","0.02,0.02,0.00,0.02,0.02,0.02,0.10,0.19,0.23,0.29,0.54,0.01"
