Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what state is gonzaga basketball team from,480,58,0.00,0.00,6670000,Informational,"Featured snippet, People also ask, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.08,0.00"
where is murray state basketball,480,63,0.00,0.00,27000000,"Informational, Transactional","Image pack, Instant answer, Knowledge panel, People also ask, Site links, Video","0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,1.00,0.00"
who is the basketball coach for michigan state,480,49,0.00,0.00,0,Informational,"Carousel, Knowledge panel, People also ask, Site links, Video carousel, Video","0.72,0.72,0.00,0.39,0.39,0.72,1.00,1.00,0.01,0.01,0.01"
when does michigan state basketball play,390,74,0.28,0.00,78,Informational,"Image pack, People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.01,0.24,0.36,0.30,0.30,1.00,0.00"
when does michigan state basketball play again,390,71,0.19,0.00,71,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.01,0.00,0.01,0.31,0.37,0.46,0.37,1.00,0.00"
when does michigan state play basketball,390,76,0.28,0.00,92,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.16,0.08,0.54,0.00"
when does ohio state basketball play,390,59,0.00,0.00,78,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.08,0.08,0.10,1.00,0.00"
what channel is ohio state basketball on today,320,54,1.30,0.01,87,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.01,0.01,0.10,0.08,0.16,0.45,1.00,0.01"
what channel is the iowa state basketball game on,320,51,0.78,0.00,99,Informational,"People also ask, Reviews","0.03,0.01,0.01,0.01,0.01,0.01,0.05,0.08,0.37,0.25,1.00,0.01"
what channel is the michigan state basketball game on,320,62,1.24,0.01,70,Informational,"Featured snippet, People also ask, Video","0.00,0.00,0.01,0.00,0.00,0.01,0.13,0.16,0.20,0.24,0.79,0.01"
what state was basketball invented in,320,76,0.00,0.00,9770000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Site links, Video","0.29,0.19,0.06,0.29,0.54,0.44,0.54,0.81,0.66,0.54,0.36,0.44"
what time does michigan state play basketball today,320,68,0.00,0.00,85,Informational,"People also ask, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.16,0.16,0.31,1.00,0.00"
when does michigan state play basketball again,320,64,0.19,0.00,89,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.20,0.16,0.20,0.00"
did iowa state women's basketball win today,260,60,0.00,0.00,66,Informational,"Image pack, People also ask, Site links, Twitter, Video","1.00,0.00"
does ohio state play basketball tonight,260,59,0.00,0.00,17100000,Informational,"People also ask, Site links, Video","1.00,1.00,1.00,0.04,0.04,0.04,0.06,0.15,0.15,0.15,0.02"
how to read basketball stats,260,53,1.62,0.00,65700000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Site links, Video","0.43,0.43,0.29,0.18,0.10,0.35,0.66,0.81,1.00,0.54,0.81,0.54"
what channel is michigan state basketball on,260,60,1.35,0.01,69,Informational,"Featured snippet, People also ask, Twitter, Video","0.00,0.02,0.01,0.01,0.01,0.30,0.24,0.30,0.45,1.00,0.00"
what channel is the ohio state basketball game on today,260,53,0.00,0.00,82,Informational,"People also ask, Reviews, Video","0.00,0.04,0.02,0.54,0.09,0.81,0.44,0.54,0.81,1.00,0.01"
what time does michigan state basketball play today,260,74,0.00,0.00,76,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.01,0.00,0.01,0.13,0.16,0.16,0.31,1.00,0.00"
what's the score of the michigan state basketball game,260,60,0.00,0.00,11400000,Informational,"People also ask, Site links, Twitter, Video","0.00,0.01,0.01,0.00,0.01,0.02,0.25,0.20,0.31,0.46,0.52,0.01"
when does ohio state basketball play again,260,60,0.00,0.00,76,Informational,"Image pack, People also ask, Reviews, Site links, Top stories, Twitter, Video","0.00,0.00,0.01,0.00,0.00,0.00,0.05,0.13,0.16,0.20,0.55,0.00"
when is ohio state men's basketball next game,260,63,0.00,0.00,36300000,Informational,"Featured snippet, People also ask, Reviews, Video","0.00,0.00,0.00,0.00,0.00,0.72,1.00,1.00,0.07,0.05,0.02"
will michigan state basketball make the tournament,260,56,0.00,0.00,91,Informational,"Featured snippet, Image pack, People also ask, Video","0.00,0.00,0.00,0.39,0.00,0.00,1.00,1.00,0.03,0.03,0.01"
a look at the providence-south dakota state basketball game,210,36,0.00,0.00,2480000,Informational,"People also ask, Video carousel, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.36,0.44,0.54,0.44,1.00,0.02"
did florida state basketball team win today,210,67,0.00,0.00,65,Informational,"Image pack, People also ask, Site links, Video","0.00,0.00,0.00,0.00,0.39,0.72,0.00,1.00,0.01,0.01,0.00"
what channel is iowa state basketball game on,210,57,0.78,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Reviews, Twitter","0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.10,0.20,0.41,0.01"
what channel is michigan state basketball on today,210,66,1.58,0.01,71,Informational,"Featured snippet, People also ask, Video","0.05,0.02,0.02,0.00,0.02,0.02,0.13,0.13,0.20,0.30,1.00,0.00"
what channel is ohio state basketball on,210,53,1.23,0.01,85,Informational,"People also ask, Twitter","0.00,0.04,0.02,0.02,0.02,0.66,0.23,0.44,0.54,1.00,0.02"
what channel is the ohio state basketball game on,210,52,1.12,0.01,82,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.01,0.00,0.16,0.07,0.10,0.16,0.13,0.00"
what does pf mean in basketball stats,210,42,0.00,0.00,92,Informational,"Featured snippet, People also ask, Site links","0.81,1.00,0.53,0.21,0.09,0.43,1.00,0.81,0.81,0.65,0.65,0.65"
what's the score of the ohio state basketball game,210,60,0.00,0.00,88,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.00,0.03,0.02,0.02,0.02,0.36,0.19,0.36,0.36,1.00,0.01"
when does iowa state basketball play,210,69,0.00,0.00,46700000,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.08,0.01,0.01,0.00,0.01,0.01,0.01,0.05,0.05,0.05,1.00,0.00"
when does iowa state play basketball,210,60,0.00,0.00,33800000,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.16,0.20,0.13,1.00,0.00"
