Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what does bonus mean in basketball,1600,34,0.00,0.00,8690000,Informational,"Featured snippet, People also ask, Site links, Video","0.24,0.44,0.29,0.03,0.02,0.13,0.24,0.24,0.44,0.35,1.00,0.53"
what does bonus in basketball mean,1300,34,0.00,0.00,7090000,Informational,"Knowledge panel, People also ask, Site links, Video","0.13,0.24,0.13,0.01,0.01,0.07,0.13,0.13,0.35,0.29,1.00,0.29"
what does a bonus mean in basketball,1000,33,0.00,0.00,11700000,Informational,"Featured snippet, People also ask, Site links, Video","0.24,0.44,0.30,0.03,0.02,0.13,0.24,0.30,0.44,0.44,1.00,0.82"
what does fg mean in basketball,720,45,0.00,0.00,1830000,Informational,"Featured snippet, Image pack, People also ask","0.30,0.45,0.45,0.13,0.08,0.24,0.45,0.55,1.00,0.55,1.00,0.45"
what does iso mean in basketball,720,28,0.00,0.00,4600000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.30,0.30,1.00,0.45,0.45,0.45,0.45,0.76,0.45,0.55,0.76,0.55"
what does pf mean in basketball,720,48,0.00,0.00,2060000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.72,0.72,0.48,0.26,0.26,0.39,0.88,1.00,0.88,0.88,0.88,0.72"
what does plus minus mean in basketball,720,40,0.00,0.00,2080000,Informational,"FAQ, Featured snippet, People also ask, Site links, Video","1.00,1.00,0.59,0.26,0.17,0.39,0.72,0.72,1.00,0.72,0.88,0.88"
what does -2 point spread mean in basketball,390,27,4.00,0.01,3990000,Informational,"FAQ, Featured snippet, People also ask, Site links","1.00,0.28,0.28,0.66,0.81,0.81,0.66,1.00,0.66,0.44,0.18"
what does gb mean in basketball,390,31,0.00,0.00,96,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.81,0.29,0.15,0.05,0.05,0.19,0.44,0.54,0.81,0.81,1.00,0.54"
what does over under mean in basketball,390,45,0.00,0.00,97100000,Informational,"FAQ, Featured snippet, People also ask","1.00,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01"
