Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
where is gonzaga university basketball,880,73,0.00,0.00,5400000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Twitter, Video carousel","0.02,0.02,0.02,0.01,0.00,0.00,0.04,0.02,0.02,0.08,1.00,0.05"
when does university of kentucky play basketball again,390,62,0.00,0.00,5710000,Informational,"People also ask, Reviews, Site links","0.01,0.01,0.01,0.01,0.02,0.05,0.02,0.00,0.79,0.79,0.10,0.04"
who beat university of virginia in basketball this year,320,67,0.00,0.00,97,Informational,"Instant answer, People also ask, Site links, Video","0.00,0.00,0.00,1.00,0.67,0.44,0.44,0.36,0.36,0.44,0.44"
what time does university of kentucky play basketball today,260,56,0.00,0.00,14900000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.01,0.00,0.00,0.01,0.11,0.20,0.20,0.30,0.16,0.00"
what's the score of the syracuse university basketball game,260,71,0.00,0.00,94,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.72,1.00,1.00,0.01,0.01,0.00"
does university of kentucky play basketball tonight,170,53,0.00,0.00,6340000,Informational,"People also ask, Reviews, Site links","0.02,0.02,0.03,0.02,0.02,0.07,0.00,0.59,0.39,0.59,0.32,0.01"
is the university of dayton basketball game on tv tonight,170,53,0.00,0.03,1690000,Informational,"People also ask, Reviews, Site links","0.00,1.00,0.00,0.54,0.54,0.04,0.04,0.04,0.04,0.02,0.00"
when does university of kentucky play basketball,170,62,0.00,0.00,98,Informational,"People also ask, Reviews, Site links","0.01,0.01,0.02,0.01,0.01,0.03,0.00,0.00,0.30,0.45,0.55,0.00"
who is the coach of university of kentucky basketball,170,41,0.00,0.00,10700000,Informational,"Image pack, Instant answer, Knowledge panel, People also ask, Reviews, Site links, Video","0.06,0.06,0.21,0.34,0.43,1.00,0.81,0.65,0.53,0.53,0.81,0.81"
what time does kansas university play basketball today,140,60,0.00,0.00,91,Informational,"People also ask, Reviews, Site links","0.00,0.04,0.00,0.00,0.04,0.19,0.12,0.29,0.23,1.00,0.19"
when is indiana university's next basketball game,140,55,0.00,0.00,2130000,Informational,"People also ask, Site links, Video","0.01,0.01,0.02,0.01,0.00,0.01,0.24,0.02,0.45,0.24,0.36,0.00"
when is the next university of kentucky basketball game,140,64,0.00,0.00,18000000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.09,0.09,0.09,0.09,0.53,0.81,0.81,1.00,0.43,0.03"
what time does university of kentucky play basketball tonight,110,60,0.00,0.00,8740000,Informational,"People also ask, Reviews, Site links","0.12,0.09,0.09,0.09,0.09,0.09,1.00,0.65,0.81,0.81,0.43,0.03"
when does indiana university play basketball again,110,58,0.00,0.00,99,Informational,"People also ask, Reviews, Video","0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.31,0.37,0.00"
when does kansas university play basketball next,110,66,0.00,0.00,89,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.05,0.00,0.05,1.00,0.00,0.82,0.66,0.17,0.28"
where is creighton university basketball,110,62,0.00,0.00,3510000,Informational,"Instant answer, Knowledge panel, People also ask, Reviews, Site links, Twitter, Video","0.23,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.10,0.67,0.02"
where is duke university basketball,110,76,0.00,0.00,23700000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video carousel","0.06,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.02,0.08,0.67,1.00"
