Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who won the 2018 ncaa basketball championship,170,58,0.00,0.00,28400000,Informational,"Image pack, Instant answer, People also ask, Reviews, Site links, Video carousel, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01"
who won ncaa basketball 2018,90,60,0.00,0.00,85400000,Informational,"Instant answer, People also ask, Reviews, Site links, Video carousel","0.07,0.03,0.03,0.03,0.00,0.03,0.03,0.03,0.03,0.03,0.02,0.02"
who won ncaa basketball championship 2018,90,66,0.00,0.00,174000000,Informational,"Instant answer, People also ask, Site links, Video carousel, Video","0.00,1.00,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.02,0.02"
who won the ncaa basketball championship in 2018,70,57,0.00,0.00,29900000,Informational,"Instant answer, People also ask, Reviews, Site links, Video carousel, Video","0.03,0.02,0.03,0.02,0.02,0.02,0.04,0.03,0.04,0.04,0.11,0.11"
who won 2018 ncaa basketball championship,50,63,0.00,0.00,56200000,Informational,"Instant answer, People also ask, Reviews, Site links, Video carousel, Video","0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.22,0.04"
what to wear to a basketball game 2018,30,,0.00,0.00,,,,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.66,0.66"
when does basketball season start 2018,30,,0.00,0.00,,,,"0.28,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.28,0.28"
when is basketball season 2018,30,,0.00,0.00,,,,"1.00,0.14,0.00,0.14,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.09"
who is the best basketball player 2018,30,,0.00,0.00,,,,"0.00,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.11,0.11"
who is the best basketball player in 2018,30,,0.00,0.00,,,,"0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.22,0.22"
who won basketball championship 2018,30,,0.00,0.00,,,,"0.42,0.14,0.14,0.14,0.14,0.14,0.00,0.14,0.14,0.14,0.09,0.09"
who won the 2018 nba basketball championship,30,,0.00,0.00,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.66,0.66"
who won the 2018 ncaa basketball tournament,30,,0.00,0.00,,,,"1.00,0.42,0.42,0.42,0.00,0.42,0.42,0.00,0.42,0.42,0.28,0.28"
who won the basketball championship 2018,30,,0.00,0.00,,,,"1.00,0.60,0.60,0.00,0.60,0.60,0.60,0.60,0.60,0.60,0.00,0.40"
who won ncaa men's basketball 2018,20,,0.00,0.00,,,,"0.00,0.14,0.00,0.00,0.14,0.14,0.00,0.14,0.00,0.14,0.09,0.09"
who won the 2018 ncaa men's basketball championship,20,,0.00,0.00,,,,"0.18,0.27,0.27,0.00,0.27,0.00,0.27,0.27,0.27,0.27,0.18,0.18"
who won the national championship in 2018 basketball,20,,0.00,0.00,,,,"0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.66,0.66"
