Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
when is the next basketball game,880,85,1.42,0.01,702000000,Informational,"Instant answer, People also ask, Site links","0.08,0.29,1.00,0.04,0.03,0.10,0.08,0.08,0.07,0.13,0.22,0.22"
when is kentucky's next basketball game,480,67,0.00,0.00,92,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.01,0.00,0.00,0.02,0.34,0.44,0.44,0.34,0.30,0.01"
when is the next usa basketball game,480,83,0.00,0.00,454000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.01,0.01,1.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
when does usa basketball play next,390,75,0.00,0.00,100,Informational,"Instant answer, People also ask, Reviews, Site links, Twitter","0.00,0.00,0.36,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
who will coach duke basketball next year,390,62,0.00,0.00,17600000,Informational,"Featured snippet, People also ask, Video carousel","0.01,0.13,1.00,0.08"
when is the next nba basketball game,320,84,0.00,0.00,282000000,Informational,"FAQ, People also ask, Reviews, Site links","0.05,0.24,1.00,0.01,0.00,0.02,0.01,0.02,0.01,0.05,0.02,0.01"
when is the next ncaa basketball game,320,50,0.29,0.01,172000000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.16"
when is the next uk basketball game,320,57,0.00,0.00,84,Informational,"People also ask, Reviews, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.02,0.25,0.31,0.37,0.46,0.31,0.00"
when do the iowa hawkeyes men's basketball play next,260,76,0.00,0.00,87,Informational,"FAQ, Image pack, People also ask, Reviews","0.00,0.00,0.00,0.00,0.00,0.72,1.00,1.00,0.01,0.01,0.00"
when does ku basketball play next,260,42,0.31,0.01,93,Informational,"People also ask, Reviews, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.20,0.20,0.16,0.13,0.68,0.07"
when does purdue basketball play next,260,60,0.44,0.00,77,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.02,0.02,0.08,0.16,0.20,0.24,1.00,0.00"
when is auburn's next basketball game,260,49,0.34,0.00,79,Informational,"People also ask, Reviews, Video","0.09,0.03,0.00,0.00,0.03,0.03,0.11,0.11,0.59,0.88,1.00,0.01"
when is duke's next basketball game,260,63,0.42,0.00,93,Informational,"People also ask, Reviews, Site links","0.01,0.01,0.01,0.00,0.01,0.00,0.20,0.24,0.30,0.24,1.00,0.04"
when is gonzaga's next basketball game,260,59,0.45,0.01,97,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.05,0.05,0.24,0.00"
when is ku's next basketball game,260,51,0.30,0.01,76,Informational,"Image pack, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.01,0.00,0.01,0.45,0.36,0.36,0.30,1.00,0.16"
when is ohio state men's basketball next game,260,63,0.00,0.00,36300000,Informational,"Featured snippet, People also ask, Reviews, Video","0.00,0.00,0.00,0.00,0.00,0.72,1.00,1.00,0.07,0.05,0.02"
when is the next gonzaga basketball game,260,59,0.69,0.00,86,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.01,0.00,0.00,0.00,0.08,0.11,0.11,0.11,0.24,0.00"
when is the next kentucky basketball game,260,63,0.00,0.00,94,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.01,0.00,0.00,0.08,0.24,1.00,0.30,0.76,0.03"
when is the next ku basketball game,260,56,0.30,0.01,95,Informational,"People also ask, Reviews, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.16,0.25,0.25,0.84,0.16"
when is the next miami heat basketball game,260,59,0.27,0.07,31900000,Informational,"FAQ, Image pack, People also ask, Reviews, Site links, Video","1.00,0.01,0.01,0.01,0.01,0.01,0.06,0.06,0.06,0.06,0.06,0.06"
when does uconn women's basketball play next,210,45,0.00,0.00,6470000,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.03,0.24,0.02"
when is iu's next basketball game,210,62,0.00,0.00,87,Informational,"People also ask, Reviews, Video","0.01,0.01,0.02,0.01,0.00,0.01,0.24,0.30,0.45,0.30,0.36,0.00"
when is kentucky basketball's next game,210,56,0.00,0.00,3350000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.30,0.01"
when is purdue's next basketball game,210,60,0.74,0.00,98,Informational,"People also ask, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.10,0.20,0.20,0.20,0.62,0.00"
when is tarheel next basketball game,210,71,0.00,0.00,86,Informational,"Featured snippet, People also ask, Site links, Video","0.00,0.01,0.00,0.01,0.01,0.11,0.05,0.01,0.11,0.01,1.00,0.01"
when is team usa basketball next game,210,74,0.00,0.00,294000000,Informational,"Featured snippet, People also ask","0.02,0.02,1.00,0.76,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00"
when is the next duke basketball game,210,57,0.25,0.01,100,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.01,0.01,0.01,0.01,0.02,0.01,0.20,0.30,0.30,0.36,1.00,0.08"
