Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what's the score of the basketball game,1000,84,0.00,0.00,97,Informational,"Instant answer, People also ask, Reviews, Site links, Video","0.20,1.00,0.65,0.02,0.00,0.03,0.05,0.07,0.08,0.07,0.13,0.22"
what's the basketball score,480,93,0.00,0.00,116000000,Informational,"Instant answer, People also ask, Reviews, Site links, Video","0.31,1.00,0.68,0.05,0.02,0.05,0.08,0.08,0.13,0.08,0.13,0.20"
a&m basketball score,390,29,0.00,0.00,100,Informational,"Featured snippet, People also ask, Site links","0.00,0.00,0.00,0.01,0.01,0.03,0.03,0.20,0.13,1.00,0.01"
what is the score of the ku basketball game,390,65,0.00,0.00,83,Informational,"People also ask, Reviews, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.07,0.13,0.10,0.54,0.79"
what is the score of the duke basketball game,320,74,0.00,0.00,87,Informational,"Image pack, People also ask, Reviews, Site links, Twitter, Video carousel","0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.13,0.16,1.00,0.41"
what was the score of the duke basketball game,320,71,0.00,0.00,83,Informational,"Featured snippet, Image pack, People also ask, Reviews, Twitter, Video carousel","0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.10,0.16,1.00,0.36"
what's the score of the gonzaga basketball game,320,62,0.00,0.00,98,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.07,0.08,0.24,0.00"
what is the score of the kentucky basketball game,260,54,0.00,0.00,99,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.01,0.01,0.02,0.01,0.01,0.03,0.30,0.20,0.24,0.45,0.76,0.01"
what was the basketball score,260,83,0.00,0.00,310000000,Informational,"Instant answer, People also ask, Reviews, Video","0.16,1.00,0.55,0.03,0.01,0.05,0.06,0.08,0.06,0.05,0.16,0.30"
what was the score of the iu basketball game,260,64,0.00,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.72,1.00,1.00,0.01,0.11,0.02"
what was the score of the kentucky basketball game,260,54,0.00,0.00,85,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.01,0.01,0.02,0.01,0.01,0.03,0.30,0.16,0.30,0.45,0.76,0.01"
what's the score of the duke basketball game,260,74,0.00,0.00,84,Informational,"Image pack, People also ask, Site links, Twitter, Video","0.01,0.01,0.01,0.00,0.01,0.00,0.24,0.08,0.30,0.20,1.00,0.55"
what's the score of the houston cougars basketball game,260,58,0.00,0.00,79,Informational,"Image pack, Instant answer, People also ask, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.72,1.00,1.00,0.01,0.03,0.00"
what's the score of the kansas north carolina basketball game,260,36,0.00,0.00,97,"Informational, Commercial","Instant answer, People also ask, Video",1.00
what's the score of the kentucky basketball game,260,53,0.00,0.00,78,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.02,0.31,0.16,0.25,0.37,0.37,0.00"
what's the score of the michigan basketball game,260,61,0.00,0.00,100,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.19,0.00"
