Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
when does kentucky basketball play again,1300,64,0.00,0.00,10200000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.01,0.52,0.66,0.80,1.00,1.00,0.01"
what channel is kentucky basketball on tonight,590,58,1.56,0.01,83,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.02,0.03,1.00,0.55,0.67,0.67,1.00,0.00"
what time does kentucky basketball play today,590,62,0.00,0.01,99,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.01,0.00,0.05,0.16,0.81,1.00,1.00,1.00,0.01"
what time does kentucky play basketball today,590,62,0.00,0.01,94,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.24,0.29,0.29,0.29,0.00"
when does kentucky play basketball,590,64,0.00,0.00,85,Informational,"Image pack, People also ask, Reviews, Site links","0.01,0.00,0.00,0.00,0.00,0.04,0.27,0.36,0.36,0.36,0.36,0.00"
when is kentucky's next basketball game,480,67,0.00,0.00,92,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.01,0.00,0.00,0.02,0.34,0.44,0.44,0.34,0.30,0.01"
when does kentucky play basketball again,390,63,0.00,0.00,11200000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.62,0.62,0.03,1.00,0.00"
when does university of kentucky play basketball again,390,62,0.00,0.00,5710000,Informational,"People also ask, Reviews, Site links","0.01,0.01,0.01,0.01,0.02,0.05,0.02,0.00,0.79,0.79,0.10,0.04"
what channel is kentucky basketball on,320,52,1.24,0.00,83,Informational,"Featured snippet, People also ask, Reviews, Site links","0.72,0.00,0.03,0.03,0.04,0.59,0.21,0.48,0.59,1.00,0.02"
what channel is the kentucky basketball game on,260,53,1.32,0.02,73,Informational,"Featured snippet, People also ask, Video","0.01,0.01,0.00,0.01,0.01,0.01,0.46,0.16,0.25,0.20,0.25,0.00"
what is the score of the kentucky basketball game,260,54,0.00,0.00,99,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.01,0.01,0.02,0.01,0.01,0.03,0.30,0.20,0.24,0.45,0.76,0.01"
what time does university of kentucky play basketball today,260,56,0.00,0.00,14900000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.01,0.00,0.00,0.01,0.11,0.20,0.20,0.30,0.16,0.00"
what was the score of the kentucky basketball game,260,54,0.00,0.00,85,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.01,0.01,0.02,0.01,0.01,0.03,0.30,0.16,0.30,0.45,0.76,0.01"
what's the score of the kentucky basketball game,260,53,0.00,0.00,78,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.02,0.31,0.16,0.25,0.37,0.37,0.00"
when is the next kentucky basketball game,260,63,0.00,0.00,94,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.01,0.00,0.00,0.08,0.24,1.00,0.30,0.76,0.03"
who won the kentucky basketball game,260,54,0.00,0.00,80,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video carousel","0.02,0.01,0.01,0.01,0.01,0.02,0.31,0.16,0.25,0.37,0.37,0.04"
does kentucky play basketball tonight,210,67,0.00,0.00,8170000,Informational,"People also ask, Reviews, Site links","0.00,0.06,0.00,0.04,0.10,1.00,0.81,0.81,1.00,0.81,0.02"
when is kentucky basketball's next game,210,56,0.00,0.00,3350000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.30,0.01"
when was the last time kentucky basketball was unranked,210,18,0.00,0.00,79,Informational,"Image pack, People also ask, Video","0.00,0.00,0.00,0.54,1.00,0.43,0.54,0.43,0.43,0.81,0.81"
a&m vs kentucky basketball,170,31,0.00,0.00,74,"Informational, Commercial","Image pack, People also ask, Site links, Video carousel","0.00,0.00,0.00,0.01,0.01,0.01,0.01,1.00,0.01,0.01,0.01"
does university of kentucky play basketball tonight,170,53,0.00,0.00,6340000,Informational,"People also ask, Reviews, Site links","0.02,0.02,0.03,0.02,0.02,0.07,0.00,0.59,0.39,0.59,0.32,0.01"
what is kentucky basketball ranked,170,58,0.00,0.00,70,Informational,"Featured snippet, Image pack, People also ask, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.07,0.16,0.24,0.13,0.01"
what is kentucky's ranking in basketball,170,64,0.00,0.00,63,Informational,"Image pack, People also ask, Video","0.00,0.05,0.05,0.00,0.08,0.23,0.35,0.54,1.00,0.54,0.05"
what time does kentucky play basketball tonight,170,61,0.00,0.00,5730000,Informational,"People also ask, Reviews, Site links","0.00,0.07,0.07,0.07,0.07,1.00,0.66,0.82,1.00,0.82,0.02"
what time is the kentucky basketball game today,170,66,0.00,0.00,81,Informational,"People also ask, Reviews, Site links, Video","0.16,0.01,0.02,0.01,0.01,0.03,0.16,0.13,0.30,0.30,0.30,0.01"
when does kentucky men's basketball play again,170,67,0.00,0.01,23300000,Informational,"People also ask, Reviews, Site links, Video","0.01,0.01,0.02,0.01,0.01,0.03,0.24,0.30,0.24,0.24,0.36,0.00"
when does university of kentucky play basketball,170,62,0.00,0.00,98,Informational,"People also ask, Reviews, Site links","0.01,0.01,0.02,0.01,0.01,0.03,0.00,0.00,0.30,0.45,0.55,0.00"
who is the coach of university of kentucky basketball,170,41,0.00,0.00,10700000,Informational,"Image pack, Instant answer, Knowledge panel, People also ask, Reviews, Site links, Video","0.06,0.06,0.21,0.34,0.43,1.00,0.81,0.65,0.53,0.53,0.81,0.81"
who won the kentucky georgia basketball game,170,43,0.00,0.00,72,Informational,"Image pack, Instant answer, People also ask, Reviews, Site links, Video carousel","0.00,0.00,0.00,0.03,0.03,0.72,1.00,0.03,0.03,0.00,0.00"
a sea of blue kentucky basketball,140,60,0.00,0.00,35,Informational,"Image pack, Twitter, Video","0.66,0.42,0.52,0.66,0.52,0.52,0.52,1.00,0.80,0.66,1.00,0.80"
what channel is the kentucky basketball game on tonight,140,47,1.02,0.01,88,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.06,0.00,0.00,0.06,0.06,1.00,0.35,0.54,0.35,0.66,0.02"
what channel kentucky basketball,140,53,1.40,0.00,0,Informational,"Carousel, Featured snippet, Image pack, People also ask, Reviews","0.01,0.01,0.02,0.01,0.01,0.03,0.00,0.02,1.00,0.05,0.10,0.00"
what time is kentucky basketball game today,140,62,0.00,0.00,85,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.05,0.00,0.10,0.53,0.43,1.00,1.00,1.00,0.05"
what time is the kentucky basketball game,140,56,0.00,0.00,87,Informational,"People also ask, Reviews, Site links, Video","0.02,0.02,0.03,0.02,0.02,0.03,0.14,0.26,0.26,0.39,0.32,0.01"
when does kentucky basketball play,140,62,0.00,0.00,81,Informational,"Image pack, People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.00,0.17,1.00,1.00,0.35,0.43,1.00,0.00"
when is the next university of kentucky basketball game,140,64,0.00,0.00,18000000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.09,0.09,0.09,0.09,0.53,0.81,0.81,1.00,0.43,0.03"
who coaches kentucky basketball,140,51,0.00,0.00,9600000,Informational,"Instant answer, Knowledge panel, People also ask, Video carousel","0.01,0.03,0.03,0.03,0.03,0.03,0.12,0.12,0.23,0.19,1.00,0.12"
who is the kentucky basketball coach,140,40,0.00,0.00,16500000,"Informational, Transactional","Image pack, Instant answer, Knowledge panel, People also ask, Site links, Video carousel, Video","0.00,0.00,0.00,0.03,0.00,0.03,0.12,0.12,0.19,0.19,1.00,0.12"
does kentucky basketball play today,110,61,0.00,0.00,87,Informational,"People also ask, Reviews, Site links","0.02,0.02,0.03,0.02,0.02,0.07,0.26,0.17,0.21,0.21,0.17,0.01"
does kentucky play basketball today,110,62,0.00,0.00,100,Informational,"People also ask, Reviews, Site links, Video","0.01,0.01,0.02,0.01,0.01,0.01,0.08,0.20,0.16,0.24,0.16,0.00"
how much does kentucky spend on basketball,110,44,0.00,0.00,97,Informational,"Featured snippet, People also ask, Reviews, Video","1.00,0.11"
how to watch kentucky basketball,110,42,1.12,0.24,70,Informational,"Featured snippet, People also ask, Reviews, Video carousel","0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.53,0.80,0.65,0.80,0.07"
is kentucky basketball good,110,41,0.00,0.00,71,Informational,"Image pack, People also ask, Reviews, Site links, Video","1.00,0.00"
what seed is kentucky basketball 2021,110,41,0.00,0.00,78,Informational,"Featured snippet, Image pack, People also ask, Video","1.00,0.00"
what time does kentucky play basketball,110,62,0.00,0.00,88,Informational,"People also ask, Reviews, Site links, Video","0.02,0.03,0.00,0.00,0.03,0.03,0.21,0.21,0.32,0.32,0.26,0.01"
what time does university of kentucky play basketball tonight,110,60,0.00,0.00,8740000,Informational,"People also ask, Reviews, Site links","0.12,0.09,0.09,0.09,0.09,0.09,1.00,0.65,0.81,0.81,0.43,0.03"
what time is the kentucky basketball game tonight,110,63,0.00,0.00,88,Informational,"Featured snippet, People also ask, Reviews, Site links","0.16,0.01,0.01,0.01,0.01,0.01,0.10,0.08,0.06,0.10,0.10,0.00"
when does kentucky basketball play next,110,62,0.00,0.00,85,Informational,"People also ask, Reviews, Site links, Video","0.02,0.02,0.04,0.02,0.02,0.02,0.36,0.36,0.23,0.29,0.36,0.01"
who is kentucky's basketball coach,110,44,0.00,0.00,635000,"Informational, Transactional","Image pack, Instant answer, Knowledge panel, People also ask, Site links, Video carousel","0.00,0.00,0.00,0.04,0.00,0.04,0.15,0.15,0.29,0.23,1.00,0.12"
does kentucky basketball play tonight,90,62,0.00,0.00,91,Informational,"People also ask, Reviews, Site links","0.01,0.01,0.00,0.01,0.00,0.01,0.08,0.08,0.05,0.07,0.03,0.00"
is kentucky playing basketball tonight,90,64,0.00,0.00,10100000,Informational,"People also ask, Reviews, Site links","0.05,0.05,0.05,0.00,0.05,0.05,0.18,0.23,0.23,0.35,0.35,0.01"
what channel is kentucky basketball on today,90,58,0.00,0.00,87,Informational,"Featured snippet, People also ask, Reviews, Site links","0.02,0.02,0.04,0.02,0.02,0.04,0.23,0.15,0.29,0.29,0.23,0.01"
what channel is the kentucky basketball game on today,90,52,0.00,0.00,79,Informational,"Featured snippet, People also ask, Site links","0.07,0.07,0.00,0.07,0.07,0.07,0.28,0.28,0.43,0.43,0.66,0.05"
what is the kentucky basketball score,90,50,0.00,0.00,73,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.00,0.00,0.11,0.11,0.11,0.42,0.42,0.42,0.42,1.00,0.03"
what is the latest on kentucky basketball recruiting,90,69,0.00,0.00,55,Informational,"Reviews, Top stories, Video","0.19,0.03,0.00,0.03,0.00,0.00,0.00,0.03,0.03,0.03,0.02,0.00"
what time does kentucky basketball play tonight,90,56,0.00,0.00,95,Informational,"People also ask, Site links","0.00,0.00,0.14,0.14,0.14,0.52,1.00,1.00,1.00,1.00,0.04"
what's the kentucky basketball score,90,51,0.00,0.00,0,Informational,"Carousel, Featured snippet, Image pack, People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.02,0.02,0.29,1.00,0.22,0.29,0.22,0.04"
when does kentucky basketball start,90,59,0.00,0.00,88,Informational,"Image pack, People also ask, Reviews, Site links","0.02,0.05,0.07,0.12,0.35,1.00,0.82,0.23,0.07,0.05,0.05,0.02"
where can i watch the kentucky basketball game online,90,51,0.95,0.30,104000000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,1.00,0.00,0.00,0.04,0.04,0.04,0.04,0.04,0.02,0.00"
who won the kentucky basketball game last night,90,63,0.00,0.00,66,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","0.00,0.11,0.11,0.11,0.11,0.65,0.42,0.53,1.00,0.65,0.03"
did kentucky basketball win today,70,54,0.00,0.00,77,Informational,"People also ask, Site links, Video","0.00,0.17,0.11,0.11,0.11,0.52,0.23,0.64,0.64,1.00,0.11"
did kentucky men's basketball win today,70,72,0.00,0.00,68,Informational,"People also ask, Reviews, Site links, Video","1.00,0.00"
did kentucky win the basketball game last night,70,62,0.00,0.00,75,Informational,"People also ask, Reviews, Site links, Video","0.00,0.27,0.27,0.27,0.27,1.00,0.27,1.00,1.00,1.00,0.00"
does university of kentucky play basketball today,70,69,0.00,0.00,21200000,Informational,"People also ask, Reviews, Site links, Video","0.02,0.02,0.04,0.02,0.02,0.05,0.09,0.19,0.15,0.15,0.15,0.02"
how many national championships does kentucky have in basketball,70,52,0.00,0.00,90,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.41,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.64,0.64,0.64,1.00"
is kentucky basketball good this year,70,41,0.00,0.00,63,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video","1.00,0.00"
what channel does kentucky basketball play on tonight,70,51,1.32,0.01,91,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.21,0.21,0.21,1.00,0.35,0.78,0.78,0.78,0.14"
what channel is kentucky basketball game on,70,51,0.00,0.01,75,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.17,0.64,0.29,0.64,0.64,1.00,0.00"
what is kentucky ranked in basketball,70,64,0.00,0.00,60,Informational,"Featured snippet, Image pack, People also ask, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.43,1.00,0.43,0.43,0.00"
what time does kentucky basketball play,70,65,0.00,0.00,88,Informational,"Instant answer, People also ask, Reviews, Site links, Video","0.00,0.09,0.09,0.09,0.09,0.09,0.53,0.53,0.34,0.34,0.53,0.03"
what time is kentucky basketball game tonight,70,55,0.00,0.00,89,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.17,0.00,0.17,0.64,0.64,0.64,1.00,1.00,0.05"
what time is the kentucky tennessee basketball game,70,49,0.00,0.00,66,Informational,"Featured snippet, People also ask, Site links, Video carousel, Video","1.00,0.00"
when do the kentucky wildcats play basketball again,70,68,0.00,0.00,72,Informational,"People also ask, Reviews, Site links","0.00,0.27,0.00,0.27,0.27,1.00,1.00,1.00,1.00,1.00,0.18"
when does kentucky men's basketball play,70,60,0.00,0.00,10400000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.27,0.00,0.27,0.27,1.00,1.00,1.00,1.00,1.00,0.18"
when does kentucky play basketball next,70,61,0.00,0.00,29900000,Informational,"People also ask, Reviews, Site links, Video","0.00,0.21,0.00,0.00,0.21,0.21,0.78,0.78,1.00,0.78,1.00,0.00"
when does kentucky wildcats basketball play again,70,63,0.00,0.00,74,Informational,"Image pack, People also ask, Reviews, Site links","0.07,0.07,0.07,0.07,0.07,0.07,0.28,0.28,0.28,0.28,0.28,0.05"
when does kentucky wildcats play basketball again,70,62,0.00,0.00,86,Informational,"People also ask, Reviews, Site links, Video","0.00,0.00,0.27,0.27,0.27,1.00,1.00,1.00,1.00,1.00,0.18"
when is kentucky wildcats next basketball game,70,67,0.00,0.00,85,Informational,"People also ask, Reviews, Site links","0.02,0.04,0.04,0.04,0.04,0.04,0.15,0.15,0.15,0.15,0.15,0.02"
