Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what basketball games are on today,6600,85,2.23,0.01,502000000,Informational,"Instant answer, Reviews, Site links","0.54,1.00,0.36,0.03,0.01,0.24,0.36,0.36,0.36,0.36,0.81,0.66"
who won the basketball game last night,5400,87,0.00,0.00,90,Informational,"Instant answer, People also ask","0.16,0.54,1.00,0.07,0.04,0.08,0.03,0.01,0.00,0.01,0.13,0.44"
how long do basketball games last,4400,48,0.00,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Reviews, Site links","0.08,0.10,0.05,0.01,0.03,0.23,1.00,0.66,0.29,0.66,0.44,0.44"
how long does a basketball game last,3600,46,0.00,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Reviews, Site links","0.29,0.36,0.29,0.08,0.08,0.36,0.10,0.36,0.66,0.54,1.00,0.36"
who won last night basketball game,3600,87,0.00,0.00,309000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.00,0.02,0.16,0.08,0.00,0.13,0.08,0.08,0.08,0.10,0.36,1.00"
how long do college basketball games last,1900,48,0.00,0.00,299000000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.03,0.07,0.19,1.00,0.36,0.66,0.81,0.36,0.15"
what college basketball games are on today,1900,96,0.00,0.00,358000000,Informational,"People also ask, Reviews, Site links","0.00,0.01,0.00,0.00,0.00,0.00,0.07,0.23,0.23,0.15,1.00,0.13"
how long does a college basketball game last,1600,48,0.00,0.00,445000000,Informational,"FAQ, Featured snippet, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.05,1.00,0.54,0.81,0.81,0.81,0.29"
how long does a high school basketball game last,1600,45,0.00,0.00,345000000,Informational,"Featured snippet, People also ask, Reviews, Site links","0.01,0.00,0.00,0.01,0.02,0.19,1.00,0.35,0.29,0.08,0.02"
who won the basketball game,1600,98,0.00,0.00,93,Informational,"Image pack, Instant answer, People also ask, Site links","0.18,0.81,1.00,0.07,0.01,0.10,0.10,0.10,0.08,0.10,0.29,1.00"
who won the basketball game today,1300,87,0.00,0.00,93,Informational,"Instant answer, People also ask, Reviews, Site links","0.44,1.00,0.80,0.04,0.01,0.10,0.10,0.13,0.10,0.10,0.52,0.52"
who won the game last night basketball,1300,86,0.00,0.00,437000000,Informational,"Instant answer, People also ask, Reviews, Video","0.16,0.54,1.00,0.04,0.02,0.04,0.03,0.04,0.04,0.04,0.43,0.54"
who won the game today basketball,1000,89,0.00,0.00,128000000,Informational,"Instant answer, People also ask, Site links","0.44,1.00,0.66,0.03,0.01,0.08,0.08,0.10,0.10,0.08,0.52,0.24"
who won today's basketball game,1000,96,0.00,0.00,57400000,Informational,"Instant answer, People also ask, Site links","0.43,1.00,0.65,0.00,0.01,0.05,0.07,0.08,0.08,0.07,0.29,0.22"
are there any basketball games on today,880,88,1.48,0.01,394000000,Informational,"Instant answer, Reviews, Site links","0.37,0.84,0.25,0.05,0.05,0.13,0.25,0.52,0.52,0.68,1.00,0.84"
how long do high school basketball games last,880,45,0.00,0.00,292000000,Informational,"Featured snippet, People also ask, Site links","0.07,0.00,0.00,0.05,0.00,0.05,0.20,0.80,1.00,0.52,0.16,0.03"
when is the next basketball game,880,85,1.42,0.01,702000000,Informational,"Instant answer, People also ask, Site links","0.08,0.29,1.00,0.04,0.03,0.10,0.08,0.08,0.07,0.13,0.22,0.22"
who won last night's basketball game,880,86,0.00,0.00,66,Informational,"Instant answer, People also ask, Video","0.16,0.54,1.00,0.04,0.02,0.05,0.03,0.03,0.04,0.00,0.04,0.29"
who won last nights basketball game,880,93,0.00,0.00,29300000,Informational,"FAQ, Instant answer, People also ask, Reviews","0.24,0.80,1.00,0.03,0.01,0.03,0.03,0.03,0.03,0.03,0.20,0.44"
is there a basketball game today,720,89,3.15,0.00,559000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.30,1.00,0.66,0.03,0.02,0.16,0.20,0.20,0.20,0.20,0.30,0.36"
how to catch todays gonzaga basketball game,590,53,0.00,0.00,84,Informational,"Image pack, People also ask, Video","1.00,0.00"
what basketball games are today,590,83,1.45,0.01,401000000,Informational,"Instant answer, People also ask, Site links","0.54,1.00,0.13,0.00,0.00,0.08,0.08,0.13,0.10,0.13,0.66,0.36"
what ncaa basketball games are on today,590,84,1.03,0.01,144000000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.04,1.00,0.08"
