Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what basketball teams play today,390,83,1.24,0.01,248000000,Informational,"Instant answer, People also ask, Site links","0.54,1.00,0.23,0.04,0.04,0.44,0.66,0.54,0.81,0.54,1.00,0.81"
what channel is auburn basketball playing on today,390,52,1.37,0.01,77,Informational,"Featured snippet, People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.01,0.01,0.05,0.08,0.25,0.31,1.00,0.01"
what channel is illinois basketball on today,390,63,1.08,0.01,70600000,Informational,"People also ask, Site links","0.00,0.00,0.01,0.01,0.01,0.20,0.20,0.45,0.55,1.00,0.00"
what channel is the memphis tigers basketball game on today,390,56,0.92,0.02,97,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.00,0.02,0.05,1.00,0.03"
what channel is uh basketball game on today,390,49,1.50,0.01,6780000,Informational,"People also ask, Site links","0.00,1.00,0.00"
what time does ncaa basketball start today,390,58,1.31,0.02,76200000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.79"
what time does the basketball game start today,390,80,0.00,0.00,2820000000,Informational,"Instant answer, People also ask, Site links","0.25,1.00,0.46,0.01,0.01,0.02,0.01,0.03,0.03,0.02,0.31,0.52"
what time is basketball today,390,83,0.00,0.00,819000000,Informational,"Instant answer, People also ask, Site links, Twitter","0.04,0.52,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.20,1.00"
what time is the basketball game today,390,82,1.64,0.00,558000000,Informational,"Instant answer, Site links","0.11,0.84,1.00,0.02,0.01,0.03,0.02,0.03,0.03,0.05,0.25,0.52"
is there any basketball games on today,320,91,1.93,0.00,2820000000,Informational,"Featured snippet, Reviews, Site links","0.26,1.00,0.39,0.05,0.02,0.17,0.03,0.26,0.48,0.32,0.48,0.39"
what channel is illini basketball on today,320,56,1.08,0.01,3600000,Informational,"People also ask, Site links","0.00,0.00,0.01,0.01,0.02,0.20,0.24,0.30,0.55,1.00,0.00"
what channel is ku basketball on today,320,55,1.07,0.04,5800000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.01,0.16,0.13,0.45,0.13,1.00,0.30"
what channel is michigan basketball on today,320,68,1.58,0.01,83,Informational,"People also ask, Twitter","0.00,0.01,0.00,0.01,0.00,0.00,0.04,0.16,0.07,0.13,1.00,0.00"
what channel is ohio state basketball on today,320,54,1.30,0.01,87,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.01,0.01,0.10,0.08,0.16,0.45,1.00,0.01"
what channel is the texas tech basketball game on today,320,53,0.00,0.00,66900000,Informational,"People also ask, Site links, Twitter","0.01,0.03,0.01,0.01,0.02,0.01,0.05,0.11,0.25,0.68,1.00,0.01"
what time are the basketball games today,320,75,0.00,0.00,2430000000,Informational,Site links,"0.08,0.16,0.03,0.00,0.00,0.01,0.01,0.03,0.02,0.01,1.00,0.66"
what time does duke play basketball today,320,69,0.00,0.00,92,Informational,"People also ask, Site links, Twitter","0.00,0.37,0.01,0.01,0.01,0.05,0.01,0.05,0.05,1.00,0.08"
what time does michigan state play basketball today,320,68,0.00,0.00,85,Informational,"People also ask, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.16,0.16,0.31,1.00,0.00"
what time is ncaa basketball on today,320,69,0.00,0.00,182000000,Informational,"People also ask, Site links","0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.84,0.20"
what time is the women's basketball game today,320,57,1.17,0.01,1400000000,Informational,"People also ask, Site links","0.01,0.01,0.02,0.24,0.01,0.01,0.04,0.13,0.24,0.24,1.00,0.45"
what tv channel is uconn women's basketball game on today,320,62,0.78,0.03,94,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.01,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.10,0.24,0.36,0.13"
who is play basketball today,320,96,0.83,0.00,465000000,Informational,"Instant answer, People also ask, Site links","0.00,0.00,0.67,0.08,0.06,0.00,0.76,0.00,1.00,0.00,0.03,0.01"
who play basketball today,320,86,0.83,0.00,545000000,Informational,"Instant answer, People also ask, Site links, Twitter","0.24,0.36,0.08,0.00,0.00,0.16,0.24,0.30,0.20,0.30,1.00,0.55"
who play nba basketball today,320,83,0.00,0.00,324000000,Informational,"Instant answer, People also ask, Reviews, Site links, Twitter","0.20,0.24,0.00,0.02,0.00,0.10,0.24,0.55,0.45,0.45,0.45,1.00"
who plays college basketball today,320,85,0.00,0.00,530000000,Informational,"Image pack, People also ask, Reviews, Site links, Video","0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.11,1.00,0.07"
who plays today in basketball,320,90,0.83,0.00,86200000,Informational,"Instant answer, People also ask, Site links","0.00,0.00,0.00,0.05,0.00,0.00,1.00,0.00,0.68,0.01,0.08,0.03"
