Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who won the basketball game last night,5400,87,0.00,0.00,90,Informational,"Instant answer, People also ask","0.16,0.54,1.00,0.07,0.04,0.08,0.03,0.01,0.00,0.01,0.13,0.44"
how long do basketball games last,4400,48,0.00,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Reviews, Site links","0.08,0.10,0.05,0.01,0.03,0.23,1.00,0.66,0.29,0.66,0.44,0.44"
how long does a basketball game last,3600,46,0.00,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Reviews, Site links","0.29,0.36,0.29,0.08,0.08,0.36,0.10,0.36,0.66,0.54,1.00,0.36"
who won last night basketball game,3600,87,0.00,0.00,309000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.00,0.02,0.16,0.08,0.00,0.13,0.08,0.08,0.08,0.10,0.36,1.00"
how long do college basketball games last,1900,48,0.00,0.00,299000000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.03,0.07,0.19,1.00,0.36,0.66,0.81,0.36,0.15"
how long does a college basketball game last,1600,48,0.00,0.00,445000000,Informational,"FAQ, Featured snippet, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.05,1.00,0.54,0.81,0.81,0.81,0.29"
how long does a high school basketball game last,1600,45,0.00,0.00,345000000,Informational,"Featured snippet, People also ask, Reviews, Site links","0.01,0.00,0.00,0.01,0.02,0.19,1.00,0.35,0.29,0.08,0.02"
who won the game last night basketball,1300,86,0.00,0.00,437000000,Informational,"Instant answer, People also ask, Reviews, Video","0.16,0.54,1.00,0.04,0.02,0.04,0.03,0.04,0.04,0.04,0.43,0.54"
how long do high school basketball games last,880,45,0.00,0.00,292000000,Informational,"Featured snippet, People also ask, Site links","0.07,0.00,0.00,0.05,0.00,0.05,0.20,0.80,1.00,0.52,0.16,0.03"
who won basketball last night,880,86,0.00,0.00,223000000,Informational,"Instant answer, People also ask, Reviews, Video carousel, Video","0.24,0.82,1.00,0.08,0.01,0.08,0.05,0.03,0.04,0.04,0.34,0.82"
