Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
when does duke play basketball again,1000,55,0.40,0.00,96,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.13,0.13,1.00,0.02"
what channel is duke basketball on tonight,590,59,1.50,0.02,86,Informational,"Featured snippet, People also ask, Twitter","0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.24,0.20,1.00,0.20"
how old is duke's basketball coach,390,60,1.00,0.00,0,Informational,"Carousel, People also ask, Site links, Video carousel","0.01,0.03,0.00,0.00,0.00,0.00,0.08,0.01,0.03,0.08,1.00,0.36"
who coaches duke basketball,390,63,1.03,0.00,0,"Informational, Transactional","Carousel, Knowledge panel, People also ask, Video carousel","0.00,0.00,0.00,0.05,0.00,0.16,0.81,0.20,0.36,0.30,1.00,0.45"
who will coach duke basketball next year,390,62,0.00,0.00,17600000,Informational,"Featured snippet, People also ask, Video carousel","0.01,0.13,1.00,0.08"
who won the duke basketball game,390,75,0.00,0.00,0,Informational,"Carousel, Featured snippet, Image pack, People also ask, Reviews, Twitter, Video carousel","0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.04,0.08,0.07,1.00,0.27"
what is the score of the duke basketball game,320,74,0.00,0.00,87,Informational,"Image pack, People also ask, Reviews, Site links, Twitter, Video carousel","0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.13,0.16,1.00,0.41"
what time does duke play basketball today,320,69,0.00,0.00,92,Informational,"People also ask, Site links, Twitter","0.00,0.37,0.01,0.01,0.01,0.05,0.01,0.05,0.05,1.00,0.08"
what was the score of the duke basketball game,320,71,0.00,0.00,83,Informational,"Featured snippet, Image pack, People also ask, Reviews, Twitter, Video carousel","0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.10,0.16,1.00,0.36"
who is duke's basketball coach,320,64,1.03,0.00,0,Informational,"Carousel, Knowledge panel, People also ask, Site links, Video carousel","0.02,0.13,0.05,0.06,0.10,0.20,1.00,0.24,0.45,0.24,0.30,0.45"
who won duke basketball game last night,320,77,0.00,0.00,83,Informational,"People also ask, Site links, Twitter, Video carousel","0.00,0.00,0.00,0.01,0.00,0.01,0.16,0.11,0.08,0.07,1.00,0.20"
who won the duke basketball game last night,320,62,0.00,0.00,96,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video carousel","0.00,0.01,0.01,0.01,0.01,0.01,0.24,0.16,0.13,0.10,1.00,0.24"
how old is the duke basketball coach,260,61,1.03,0.00,0,Informational,"Carousel, Image pack, People also ask, Site links, Video carousel","0.00,0.04,0.01,0.00,0.01,0.01,0.04,0.01,0.01,0.08,1.00,0.41"
what channel is the duke basketball game on,260,58,1.04,0.01,56300000,Informational,"Featured snippet, People also ask, Video","0.01,0.01,0.01,0.00,0.01,0.01,0.30,0.08,0.16,0.20,1.00,0.30"
what is duke basketball ranked,260,76,0.00,0.00,95,Informational,"Featured snippet, Image pack, People also ask, Video","0.01,0.01,0.02,0.01,0.02,0.03,0.30,0.24,0.30,0.36,1.00,0.16"
what is duke ranked in basketball,260,78,0.00,0.00,90,Informational,"Featured snippet, Image pack, People also ask, Site links, Video","0.01,0.01,0.02,0.01,0.01,0.03,0.30,0.24,0.30,0.36,0.76,0.13"
what's the score of the duke basketball game,260,74,0.00,0.00,84,Informational,"Image pack, People also ask, Site links, Twitter, Video","0.01,0.01,0.01,0.00,0.01,0.00,0.24,0.08,0.30,0.20,1.00,0.55"
