Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what is a jump ball in basketball,210,28,0.00,0.00,43500000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Reviews, Site links, Video carousel, Video","0.22,0.29,0.14,0.10,0.10,0.22,0.54,0.66,1.00,0.81,0.54,0.22"
what is an air ball in basketball,140,24,0.00,0.00,115000000,Informational,"Featured snippet, People also ask, Reviews, Video carousel","1.00,0.34,0.28,0.15,0.21,0.21,0.34,0.43,0.43,0.43,0.43,0.34"
what is jump ball in basketball,140,43,0.00,0.00,40700000,Informational,"FAQ, Knowledge panel, People also ask, Reviews, Video carousel, Video","0.00,0.00,0.00,0.08,0.00,0.22,0.43,0.54,1.00,0.81,0.54,0.22"
can you kick the ball in basketball,90,30,0.00,0.00,49600000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel","0.50,0.78,0.78,0.78,0.21,0.50,0.78,0.64,0.78,0.64,1.00,0.64"
how long can you hold the ball in basketball,70,22,0.00,0.00,44200000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel","0.00,0.00,0.00,0.27,0.27,1.00,1.00,1.00,1.00,1.00,1.00"
what is iso ball in basketball,70,27,0.00,0.00,6020000,Informational,"Featured snippet, Site links, Video carousel, Video","0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.02"
a basketball referee tosses the ball straight,50,17,0.00,0.01,70,Informational,"Featured snippet, Image pack, Reviews, Video","0.00,0.00,0.00,0.00,1.00,0.07,0.07,0.07,0.07,0.07,0.05,0.05"
how to get better at ball handling basketball,50,40,0.00,0.07,50100000,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links, Video carousel","1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.07,0.07"
what ball does ncaa basketball use,50,45,0.00,1.00,71200000,Informational,"Featured snippet, Image, People also ask, Reviews, Video","0.14,0.14,0.14,0.14,0.14,0.14,0.23,0.14,0.14,0.14,0.52,0.09"
what does ball in mean in ncaa basketball,50,60,0.00,0.00,4750000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.03"
what is a ball screen in basketball,50,31,0.00,0.00,58100000,Informational,"Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.00"
what is a dead ball in basketball,50,23,0.00,0.00,29300000,Informational,"Featured snippet, People also ask, Video carousel","1.00,0.27,0.27,0.27,0.27,0.27,0.27,1.00,1.00,0.27,0.18,0.18"
what is small ball in basketball,50,19,0.00,0.00,451000000,Informational,"Knowledge panel, People also ask, Site links, Video carousel","0.29,1.00,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.64,0.64"
