Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
what channel is the iowa basketball game on,590,61,0.00,0.02,90,Informational,"Featured snippet, People also ask, Site links","0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.27,0.16,0.16,1.00,0.00"
what channel is iowa women's basketball on today,480,50,1.25,0.00,22000000,Informational,"People also ask, Site links, Twitter, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.10,1.00,0.00"
what channel is the iowa basketball game on tonight,390,59,0.82,0.01,92,Informational,"FAQ, Featured snippet, People also ask, Site links","0.00,0.00,0.02,0.00,0.02,0.45,1.00,0.55,0.55,0.67,0.01"
what channel is the iowa state basketball game on,320,51,0.78,0.00,99,Informational,"People also ask, Reviews","0.03,0.01,0.01,0.01,0.01,0.01,0.05,0.08,0.37,0.25,1.00,0.01"
did iowa state women's basketball win today,260,60,0.00,0.00,66,Informational,"Image pack, People also ask, Site links, Twitter, Video","1.00,0.00"
what channel is iowa basketball on tonight,260,60,1.28,0.01,84,Informational,"FAQ, Featured snippet, People also ask, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.66,1.00,0.66,0.66,1.00,0.01"
when do the iowa hawkeyes men's basketball play next,260,76,0.00,0.00,87,Informational,"FAQ, Image pack, People also ask, Reviews","0.00,0.00,0.00,0.00,0.00,0.72,1.00,1.00,0.01,0.01,0.00"
when do the iowa hawkeyes men's basketball team play again,260,72,0.00,0.00,81,Informational,"FAQ, Image pack, People also ask, Reviews, Video","0.00,0.00,0.00,0.00,0.00,0.72,1.00,1.00,0.01,0.01,0.01"
what channel is iowa state basketball game on,210,57,0.78,0.00,0,Informational,"Carousel, Featured snippet, People also ask, Reviews, Twitter","0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.10,0.20,0.41,0.01"
what channel is the iowa women's basketball game on today,210,49,0.00,0.00,22100000,Informational,"People also ask, Site links, Video","0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.03,0.05,0.20,0.65,0.00"
when does iowa basketball play,210,61,0.00,0.00,77,Informational,"FAQ, Featured snippet, Image pack, People also ask, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.05,0.05,0.44,0.00"
when does iowa state basketball play,210,69,0.00,0.00,46700000,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.08,0.01,0.01,0.00,0.01,0.01,0.01,0.05,0.05,0.05,1.00,0.00"
when does iowa state play basketball,210,60,0.00,0.00,33800000,Informational,"People also ask, Reviews, Site links, Twitter, Video","0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.16,0.20,0.13,1.00,0.00"
how to watch iowa state basketball,170,61,0.82,0.04,98,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.29,0.04,0.04,0.04,0.04,0.04,0.15,0.23,0.66,0.44,1.00,0.01"
what channel is iowa basketball on today,170,62,0.00,0.00,76,Informational,"FAQ, Featured snippet, Site links","0.00,0.00,0.00,0.00,0.03,0.11,0.21,0.14,0.39,1.00,0.01"
what's the score of the iowa basketball game,170,65,0.00,0.00,95,Informational,"FAQ, Image pack, People also ask, Reviews, Site links, Video","0.00,0.05,0.00,0.03,0.03,0.35,0.54,0.44,0.35,1.00,0.01"
when does iowa play basketball,170,67,0.00,0.00,0,Informational,"Carousel, FAQ, Featured snippet, Image pack, People also ask, Site links, Video","0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.03,0.03,0.10,0.00"
what channel is iowa state basketball on,140,54,0.00,0.00,97,Informational,"Featured snippet, People also ask, Site links, Twitter, Video","0.04,0.06,0.00,0.00,0.06,0.06,0.22,0.22,0.81,0.54,1.00,0.02"
what time does iowa play basketball today,140,62,0.00,0.00,26800000,Informational,"People also ask, Site links, Video","0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.02,0.04,0.03,1.00,0.00"
when do iowa women's basketball play,140,44,0.00,0.00,10700000,"Informational, Transactional","People also ask, Site links, Video","0.00,0.03,0.03,0.03,0.03,0.03,0.03,0.11,0.17,1.00,0.01"
when does iowa basketball play next,140,55,0.00,0.00,78,Informational,"FAQ, People also ask, Site links, Video","0.01,0.01,0.00,0.00,0.01,0.01,0.03,0.07,0.05,0.07,0.52,0.00"
