Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who made basketball,1900,64,0.00,0.01,1200000000,Informational,"FAQ, Featured snippet, Image pack, Knowledge panel, People also ask, Reviews, Site links, Video carousel","0.55,0.44,0.34,0.44,0.55,0.65,0.82,0.82,1.00,1.00,1.00,0.82"
what are basketballs made of,880,42,0.00,0.01,4440000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Reviews, Site links, Video carousel, Video","0.72,0.59,0.72,0.72,1.00,0.88,0.72,0.88,1.00,0.88,1.00,0.88"
when was basketball made,590,76,0.00,0.00,925000000,Informational,"FAQ, Instant answer, Knowledge panel, People also ask, Site links, Video","0.48,0.32,0.21,0.32,0.59,0.72,0.88,0.88,1.00,0.88,1.00,0.88"
what is a basketball made of,480,39,0.00,0.02,948000000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Site links, Video carousel","0.29,0.23,0.15,0.29,0.81,0.54,0.44,0.67,1.00,0.67,0.81,0.81"
how are basketballs made,320,37,0.00,0.00,5080000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Reviews, Video carousel, Video","0.66,0.54,0.35,0.35,0.54,0.35,0.66,0.54,0.35,0.54,1.00,0.35"
may madness basketball tournament,260,7,0.00,0.00,5420000,Informational,"Image pack, Site links, Video","1.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.03"
what was the first basketball made of,210,61,0.00,0.00,605000000,Informational,"FAQ, Image pack, Instant answer, Knowledge panel, People also ask, Reviews, Site links, Video carousel","0.14,0.10,0.08,0.10,0.22,0.66,0.81,0.35,0.35,0.81,1.00,1.00"
how was the basketball made,170,68,0.00,0.00,4740000000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Reviews, Video carousel","0.00,0.00,0.00,0.28,0.00,0.44,0.54,0.54,0.00,0.54,1.00,0.54"
what is basketball made of,170,29,0.00,0.01,786000000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Site links, Video carousel","0.81,0.65,0.43,0.53,0.43,0.65,0.53,0.53,0.53,0.53,0.53,0.53"
who made the basketball,170,75,0.00,0.01,789000000,Informational,"FAQ, Featured snippet, Image pack, Knowledge panel, People also ask, Reviews, Site links, Video carousel","0.65,0.53,0.34,0.43,0.43,0.43,0.34,0.53,0.53,0.65,0.65,0.21"
what are basketball courts made of,110,31,0.00,0.01,27200000,Informational,"Featured snippet, People also ask, Reviews, Video","0.33,0.33,0.52,0.42,0.52,0.52,0.52,0.52,0.52,0.66,1.00,0.66"
what is a basketball made out of,110,39,0.00,0.09,658000000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Site links, Video carousel","0.66,0.42,0.33,0.52,0.66,0.52,0.80,0.52,0.52,0.66,0.66,0.66"
when was the first basketball made,110,71,0.00,0.00,613000000,Informational,"FAQ, Instant answer, Knowledge panel, People also ask, Site links, Twitter, Video","0.09,0.09,0.09,0.21,0.53,0.43,0.09,0.53,0.65,0.65,1.00,0.81"
where was basketball made,110,72,0.00,0.00,893000000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Reviews, Site links, Video carousel","0.03,0.03,0.11,0.14,0.14,0.14,0.11,0.14,0.11,0.14,0.11,0.14"
what were the first basketball hoops made of,90,39,0.00,0.01,14200000,Informational,"Featured snippet, People also ask, Reviews, Video","0.14,0.06,0.04,0.54,0.43,0.06,0.66,0.10,0.08,0.04,0.04,0.04"
when does march madness basketball start,90,57,0.83,0.02,20200000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Video","0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.55,0.00"
