Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
who is playing basketball tonight,4400,78,2.15,0.00,435000000,Informational,"Instant answer, People also ask, Site links","0.44,1.00,0.08,0.00,0.00,0.04,0.05,0.05,0.05,0.05,0.29,0.13"
what basketball games are on tonight,2900,88,1.42,0.00,200000000,Informational,"Image pack, Instant answer, Reviews, Site links","0.54,1.00,0.35,0.03,0.01,0.19,0.29,0.35,0.54,0.35,0.81,0.81"
who plays basketball tonight,2900,92,2.15,0.00,366000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.36,0.81,1.00,0.10,0.07,0.08,0.28,0.36,0.66,0.36,0.81,1.00"
is there a basketball game tonight,2400,87,1.93,0.00,198000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.28,1.00,1.00,0.04,0.02,0.15,0.19,0.19,0.24,0.28,0.36,0.43"
what time is the basketball game tonight,2400,84,1.57,0.00,254000000,Informational,"Instant answer, People also ask, Site links","0.08,0.54,0.81,0.05,0.01,0.05,0.03,0.03,0.03,0.04,0.16,1.00"
who won the basketball game tonight,2400,100,0.00,0.00,83,Informational,"Instant answer, People also ask","0.10,0.54,1.00,0.07,0.05,0.10,0.05,0.07,0.05,0.05,0.19,0.36"
who's playing basketball tonight,1900,86,2.15,0.00,329000000,Informational,"Instant answer, People also ask, Site links","0.28,0.66,1.00,0.10,0.08,0.10,0.19,0.19,0.19,0.19,0.28,0.43"
who's playing tonight basketball,1900,88,1.18,0.00,342000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.02,0.04,0.81,0.07,0.05,0.54,0.03,0.01,0.66,0.29,0.07,1.00"
what channel is the basketball game on tonight,1300,80,1.42,0.01,244000000,Informational,"People also ask, Site links","0.08,0.29,0.29,0.03,0.00,0.08,0.08,0.07,0.07,0.07,0.24,1.00"
who play basketball tonight,1300,83,1.18,0.00,206000000,Informational,"Instant answer, Site links","0.43,1.00,0.20,0.01,0.00,0.07,0.20,0.22,0.29,0.22,0.43,0.54"
who playing basketball tonight,1300,77,1.18,0.00,347000000,Informational,"Image pack, Site links","0.15,0.36,1.00,0.00,0.00,0.07,0.10,0.10,0.10,0.10,0.15,0.24"
who play nba basketball tonight,1000,82,2.64,0.00,98200000,Informational,"Reviews, Site links","0.54,1.00,0.20,0.01,0.00,0.04,0.16,0.16,0.16,0.13,0.16,0.29"
who play tonight in basketball,1000,83,2.15,0.00,200000000,Informational,"Instant answer, People also ask, Site links","0.00,0.02,1.00,0.05,0.05,0.00,0.00,0.00,0.04,0.13,0.00,0.00"
who won tonight's basketball game,1000,84,0.00,0.00,9040000,Informational,"Instant answer, People also ask, Reviews, Site links","0.04,0.30,0.82,0.30,0.03,0.34,0.30,0.24,0.20,0.20,0.44,1.00"
what basketball game is on tonight,880,83,1.42,0.00,1060000000,Informational,"Instant answer, People also ask, Reviews, Site links, Video carousel","0.18,0.44,0.16,0.00,0.00,0.05,0.08,0.08,0.13,0.13,0.18,0.35"
what time basketball game tonight,880,85,1.15,0.00,217000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.03,0.19,1.00,0.08,0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.24"
what time does the basketball game come on tonight,880,85,1.49,0.00,254000000,Informational,"Instant answer, People also ask, Reviews, Site links","0.05,0.54,1.00,0.03,0.01,0.03,0.03,0.02,0.02,0.05,0.13,0.54"
what time is basketball game tonight,880,89,1.57,0.00,207000000,Informational,"Instant answer, People also ask, Site links","0.03,0.24,0.24,0.02,0.00,0.01,0.01,0.00,0.00,0.01,0.02,1.00"
how to watch ku basketball tonight,720,57,1.01,0.11,93,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.02,0.01,0.36,0.36,0.36,0.13,1.00,0.80"
is there a basketball game on tonight,720,87,1.93,0.00,272000000,Informational,"Instant answer, Reviews, Site links","0.20,1.00,0.79,0.13,0.01,0.10,0.13,0.16,0.13,0.13,0.30,0.36"
what basketball game is tonight,720,81,1.42,0.00,212000000,"Informational, Commercial","Instant answer, People also ask, Site links","0.02,0.08,0.20,0.02,0.00,0.13,0.30,0.54,1.00,0.41,0.79,1.00"
what channel is iu basketball on tonight,720,55,1.19,0.01,89,Informational,"People also ask, Site links, Twitter","0.00,0.01,0.01,0.01,0.01,0.01,0.54,0.36,1.00,0.66,0.79,0.01"
what channel is ncaa basketball on tonight,720,92,1.32,0.02,214000000,Informational,"FAQ, Featured snippet","0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.81,1.00"
what channel is the memphis tigers basketball game on tonight,720,49,1.04,0.02,85,Informational,"Featured snippet, People also ask, Reviews, Site links, Twitter, Video","0.00,0.01,0.01,0.01,0.04,0.08,0.44,0.44,0.34,0.34,1.00,0.01"
who play basketball tonight nba,720,81,2.64,0.00,94700000,Commercial,"Reviews, Site links","0.03,0.05,0.00,0.01,0.00,0.10,0.36,0.36,0.22,0.36,0.43,1.00"
who's playing tonight in basketball,720,90,1.18,0.00,412000000,Informational,"Instant answer, People also ask, Site links","0.00,0.00,1.00,0.10,0.10,0.00,0.29,0.13,0.00,0.00,0.00,0.00"
how to watch iu basketball tonight,590,58,1.08,0.06,95,Informational,"People also ask, Site links","0.00,0.00,0.01,0.01,0.01,0.34,0.05,0.24,0.30,1.00,0.00"
what basketball game come on tonight,590,79,1.82,0.01,212000000,Informational,"Reviews, Site links","0.46,1.00,0.31,0.02,0.01,0.13,0.25,0.31,0.31,0.31,0.31,0.52"
what channel is duke basketball on tonight,590,59,1.50,0.02,86,Informational,"Featured snippet, People also ask, Twitter","0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.10,0.24,0.20,1.00,0.20"
what channel is kentucky basketball on tonight,590,58,1.56,0.01,83,Informational,"Featured snippet, People also ask, Reviews, Site links","0.00,0.00,0.00,0.02,0.03,1.00,0.55,0.67,0.67,1.00,0.00"
who plays nba basketball tonight,590,89,2.64,0.00,0,Informational,"Carousel, Featured snippet, Reviews, Site links","0.54,1.00,0.10,0.00,0.00,0.07,0.20,0.20,0.16,0.13,0.24,0.41"
is there basketball on tonight,480,91,2.49,0.00,258000000,Informational,"Featured snippet, People also ask, Site links","0.36,1.00,0.62,0.03,0.02,0.16,0.16,0.20,0.16,0.20,0.62,0.62"
what channel is the ku basketball game on tonight,480,50,0.81,0.02,100,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.01,0.00,0.02,0.01,0.36,0.54,0.54,0.20,1.00,0.36"
what college basketball games are on tonight,480,88,0.00,0.00,383000000,Informational,"People also ask, Reviews, Site links","0.00,0.00,0.00,0.00,0.03,0.00,0.13,0.11,0.30,0.30,1.00,0.08"
who is playing nba basketball tonight,480,80,2.64,0.00,83200000,Informational,"People also ask, Reviews, Site links, Twitter","0.55,1.00,0.55,0.03,0.02,0.10,0.36,0.20,0.13,0.13,0.30,0.62"
who is playing tonight basketball,480,81,1.18,0.00,350000000,Informational,"People also ask, Site links","0.00,0.00,1.00,0.13,0.13,0.01,0.00,0.00,0.00,0.00,0.00,0.04"
who played basketball tonight,480,80,1.18,0.00,377000000,Informational,"People also ask, Reviews, Site links","0.05,0.13,1.00,0.16,0.16,0.00,0.00,0.00,0.02,0.03,0.04,0.08"
who plays college basketball tonight,480,81,0.00,0.00,176000000,Informational,"People also ask, Site links, Video","0.01,0.00,0.00,0.00,0.00,0.03,0.01,0.16,0.24,1.00,0.10"
who plays in basketball tonight,480,81,1.18,0.00,309000000,Informational,"People also ask, Site links","0.00,0.01,1.00,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00"
